Metro Area,Total Asian Any Combination,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,"Chinese, except Taiwanese",Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese,"Other Asian, specified","Other Asian, not specified"
"Jefferson City, MO Metro Area",1817,474,0,0,10,68,300,336,10,0,102,131,0,0,0,47,0,12,0,22,49,169,0,87
"Johnson City, TN Metro Area",2689,634,46,0,0,0,404,178,36,0,211,355,16,0,0,41,0,202,0,93,93,297,0,83
"Johnstown, PA Metro Area",1061,162,0,0,0,0,174,286,0,0,40,237,18,0,0,0,6,38,0,2,0,53,0,45
"Jonesboro, AR Metro Area",1480,395,0,0,0,0,429,141,0,27,101,220,0,0,0,46,0,0,0,0,0,103,0,18
"Joplin, MO Metro Area",2797,314,0,0,0,0,197,647,319,0,275,233,0,0,0,0,0,58,0,44,0,598,0,112
"Kahului-Wailuku-Lahaina, HI Metro Area",93389,298,0,0,0,0,15086,49878,0,232,23055,2741,91,8,31,8,628,0,3,0,394,709,0,227
"Kalamazoo-Portage, MI Metro Area",9445,2165,10,0,0,23,1788,1442,148,42,825,1104,18,0,0,32,0,486,130,94,119,650,0,369
"Kankakee, IL Metro Area",1501,241,0,0,18,0,346,347,0,9,82,272,14,0,0,0,39,0,0,0,23,71,0,39
"Kansas City, MO-KS Metro Area",73499,15898,292,171,1917,862,11136,9051,1760,359,3793,6950,2523,178,208,1197,16,2814,96,728,2334,8986,41,2189
"Kennewick-Richland, WA Metro Area",10403,820,27,0,304,106,1867,2123,0,27,1214,648,913,0,42,0,16,0,28,13,217,1305,20,713
"Killeen-Temple, TX Metro Area",18743,1388,8,0,32,238,1290,4955,96,62,1296,5545,280,40,0,78,0,328,205,98,657,1279,0,868
"Kingsport-Bristol-Bristol, TN-VA Metro Area",2390,212,0,0,12,9,681,435,0,68,52,294,66,0,0,0,0,69,0,33,82,251,0,126
"Kingston, NY Metro Area",4908,806,151,0,61,0,1523,438,0,26,470,436,37,23,0,0,0,516,101,136,40,118,0,26
"Knoxville, TN Metro Area",16105,3574,36,0,15,79,3756,2025,17,86,1313,1882,67,82,0,109,12,93,32,176,359,1842,0,550
"Kokomo, IN Metro Area",1183,187,0,0,0,0,333,141,0,0,71,124,0,0,0,0,0,0,0,0,19,297,0,11
"La Crosse-Onalaska, WI-MN Metro Area",6125,316,43,0,0,12,640,192,3699,90,95,443,67,0,0,0,13,80,5,0,92,108,0,230
"Lafayette, LA Metro Area",9557,1021,61,0,0,24,893,682,90,190,301,301,1648,0,0,27,0,13,123,46,162,3453,0,522
"Lafayette-West Lafayette, IN Metro Area",16330,3283,61,0,17,0,7870,926,0,15,670,1867,0,75,0,50,0,292,13,237,89,428,27,410
"Lake Charles, LA Metro Area",3153,624,69,0,0,20,227,511,0,49,89,281,71,0,0,213,0,357,9,18,68,541,0,6
