District,State,Asian Alone Total,Asian Alone Less than HS,Asian Alone HS or GED,Asian Alone Some College or AA,Asian Alone BA or higher,Asian Alone Share Less than HS,Asian Alone Share HS or GED,Asian Alone Share Some College or AA,Asian Alone Share BA or higher,NHPI Alone Total,NHPI Alone Less than HS,NHPI Alone HS or GED,NHPI Alone Some College or AA,NHPI Alone BA or higher,NHPI Alone Share Less than HS,NHPI Alone Share HS or GED,NHPI Alone Share Some College or AA,NHPI Alone Share BA or higher
District 7,Ohio,3341,,,,1641,,,,49.12,,,,,,,,,
District 7,Pennsylvania,23983,1908,3164,2825,16086,7.96,13.19,11.78,67.07,,,,,,,,,
District 7,South Carolina,4942,,,,2140,,,,43.3,,,,,,,,,
District 7,Tennessee,9854,,,,5938,,,,60.26,,,,,,,,,
District 7,Texas,59008,4296,5632,8446,40634,7.28,9.54,14.31,68.86,,,,,,,,,
District 7,Virginia,26759,3422,3939,3446,15952,12.79,14.72,12.88,59.61,,,,,,,,,
District 7,Washington,61393,5309,5593,11487,39004,8.65,9.11,18.71,63.53,2291,,,,,,,,
District 7,Wisconsin,5904,1161,1506,1439,1798,19.66,25.51,24.37,30.45,,,,,,,,,
District 8,Arizona,19577,2776,2917,4439,9445,14.18,14.9,22.67,48.25,961,,,,,,,,
District 8,California,16892,2257,3432,4867,6336,13.36,20.32,28.81,37.51,1448,,,,,,,,
District 8,Florida,11637,1556,2486,2430,5165,13.37,21.36,20.88,44.38,353,,,,,,,,
District 8,Georgia,7162,,,,2878,,,,40.18,,,,,,,,,
District 8,Illinois,67204,6549,6750,11626,42279,9.74,10.04,17.3,62.91,,,,,,,,,
District 8,Indiana,4684,,,,2492,,,,53.2,,,,,,,,,
District 8,Maryland,52466,5019,5469,8044,33934,9.57,10.42,15.33,64.68,,,,,,,,,
District 8,Massachusetts,43911,7811,7774,5857,22469,17.79,17.7,13.34,51.17,,,,,,,,,
District 8,Michigan,18807,1478,,2563,13687,7.86,,13.63,72.78,,,,,,,,,
District 8,Minnesota,2951,,603,779,919,,20.43,26.4,31.14,,,,,,,,,
District 8,Missouri,2749,,,,1525,,,,55.47,,,,,,,,,
District 8,New Jersey,52738,3289,4626,5388,39435,6.24,8.77,10.22,74.78,,,,,,,,,
District 8,New York,29039,7473,5731,4330,11505,25.73,19.74,14.91,39.62,,,,,,,,,
District 8,North Carolina,11736,1635,2672,2181,5248,13.93,22.77,18.58,44.72,669,,,,,,,,
District 8,Ohio,8241,,,1373,4344,,,16.66,52.71,202,,,,,,,,
District 8,Pennsylvania,23903,2337,3771,3582,14213,9.78,15.78,14.99,59.46,,,,,,,,,
District 8,Tennessee,9561,,,,6155,,,,64.38,,,,,,,,,
District 8,Texas,15596,,,3159,8967,,,20.26,57.5,499,,,,,,,,
District 8,Virginia,66826,7368,8200,10150,41108,11.03,12.27,15.19,61.51,,,,,,,,,
District 8,Washington,41803,3990,5905,8680,23228,9.54,14.13,20.76,55.57,2677,,,,,,,,
District 8,Wisconsin,8832,1859,1999,1769,3205,21.05,22.63,20.03,36.29,,,,,,,,,
District 9,Arizona,25787,2243,2722,4596,16226,8.7,10.56,17.82,62.92,1321,,,,,,,,
District 9,California,70798,14437,13823,20499,22039,20.39,19.52,28.95,31.13,2600,,,,,,,,
District 9,Florida,17197,2545,,3545,8357,14.8,,20.61,48.6,348,,,,,,,,
District 9,Georgia,6116,,1200,1249,2168,,19.62,20.42,35.45,,,,,,,,,
District 9,Illinois,65897,6958,8547,11341,39051,10.56,12.97,17.21,59.26,,,,,,,,,
District 9,Indiana,9309,,,,5429,,,,58.32,,,,,,,,,
District 9,Massachusetts,6571,,,1114,3048,,,16.95,46.39,,,,,,,,,
District 9,Michigan,20467,3010,2789,3879,10789,14.71,13.63,18.95,52.71,,,,,,,,,
