District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
District 2,Texas,,12040,,,,,8832,5783,,,,2895,,,,,,,,,,,,18222
District 2,Utah,,1725,,,,,3993,,,,1555,1561,,,,,,,,,,,,
District 2,Virginia,,4055,,,,,5021,21302,,,,3138,,,,,,,,,,,,2935
District 2,Washington,,6053,,,,2884,8455,13753,,,3346,8126,,,,,,,,,,,,9961
District 2,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,
District 2,Wisconsin,,6671,,,,,9031,1288,6145,,,2558,,,,,,,,,,,,
District 20,California,,3895,,,,,6291,15183,,,4003,3083,,,,,,,,,,,,2674
District 20,Florida,,6396,,,,,,,,,,,,,,,,,,,,,,
District 20,New York,,11967,,,,,10753,2755,,,,2940,,,,,,,,3246,,,,
District 20,Texas,,7470,,,,,,6336,,,,,,,,,,,,,,,,
District 21,California,,5732,,,,,,11191,,,1097,,,,,,,,,,,,,
District 21,Florida,,6347,,,,,3916,2547,,,,,,,,,,,,,,,,
District 21,New York,,,,,,,1680,,,,,,,,,,,,,,,,,
District 21,Texas,,8776,,,,,5408,2697,,,708,2773,,,,,,,,,,,,1964
District 22,California,,12033,,,,,5872,10622,12178,,3915,,4827,,,,,,,,,,,3337
District 22,Florida,,8817,,,,,5565,2256,,,,,,,,,,,,,,,,
District 22,New York,,3214,,,3006,,3977,,,,,1183,,,,,,,,,,,,2016
District 22,Texas,,53483,,,,,29213,15879,,,,,,,,,,,,14206,,,,25370
District 23,California,,9477,,,,,3706,13512,,,,2263,,,,,,,,,,,,
District 23,Florida,,12766,,,,,6719,3765,,,,,,,,,,,,,,,,
District 23,New York,,3495,,,,,7522,,,,,2216,,,,,,,,,,,,
District 23,Texas,,3071,,,,,,2005,,,,,,,,,,,,,,,,
District 24,California,,2630,,,,,8044,11e3,,,3479,3192,,,,,,,,,,,,2232
District 24,Florida,,2359,,,,,1944,2493,,,,,,,,,,,,,,,,
District 24,New York,,3838,,,,,5522,916,,,,1393,,,,,,,,,,,,2628
District 24,Texas,,48826,,,,,8655,4052,,,,10178,,,,4567,,,,6189,,,,9984
District 25,California,,9999,,,,,5836,22303,,,2881,9942,,,,,,,,,,,,2637
District 25,Florida,,2806,,,,,,,,,,,,,,,,,,,,,,
District 25,New York,,6837,,,,,6834,,,,,1941,,,,,,,,,,,,2709
District 25,Texas,,6031,,,,,5226,2349,,,,2581,,,,,,,,,,,,
District 26,California,,8804,,,,,8862,17355,,,4040,2927,,,,,,,,,,,,3132
District 26,Florida,,3914,,,,,4277,,,,,,,,,,,,,,,,,
District 26,New York,,7899,,,,,6189,940,,,,2289,,,,,,,,,,,,1319
District 26,Texas,,19865,,,,,5822,3700,,,,4822,,,,,,,,2196,,,,5274
District 27,California,,8058,,,2336,2900,170321,15913,,3438,13389,12425,,,,,,,,,,7362,2382,24558
District 27,Florida,,3107,,,,,5308,,,,,,,,,,,,,,,,,
District 27,New York,,1977,,,,,2179,,,,,1006,,,,,,,,,,,,
District 27,Texas,,,,,,,1705,3048,,,,,,,,,,,,,,,,2641
District 28,California,,7284,,,,,11903,35843,,,5800,22820,,,,,,,,,,,3743,2792
District 28,Texas,,,,,,,,2354,,,,,,,,,,,,,,,,
District 29,California,,3579,,,,,3242,32099,,,2345,4348,,,,,,,,,,,3539,2351
District 29,Texas,,,,,,,,,,,,,,,,,,,,,,,,5540
District 3,Alabama,,,,,,,2242,,,,,4290,,,,,,,,,,,,
