District,State,Total Population,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
District 4,Illinois,703303,,,,,,,,,,,
District 4,Indiana,745099,,,,,,,,,,,
District 4,Iowa,758360,,,,,,331,,,,,
District 4,Kansas,722477,,,,,,,,,,,
District 4,Kentucky,749054,,,,,,,,,,,
District 4,Louisiana,758769,,,,,,,,,,,
District 4,Maryland,747699,,,,,,,,,,,
District 4,Massachusetts,751263,,,,,,,,,,,
District 4,Michigan,700749,,,,,,,,,,,
District 4,Minnesota,701130,,,,,,,,,,,
District 4,Mississippi,762965,,,,,,,,,,,
District 4,Missouri,762923,,,,,,,,,,,
District 4,Nevada,731299,,,,1738,,,,,,,
District 4,New Jersey,741766,,,,,,,,,,,
District 4,New York,724387,,,,,,,,,,,
District 4,North Carolina,825295,,,,,,,,,,,
District 4,Ohio,711332,,,,,,,,,,,
District 4,Oklahoma,780488,,,,,,,,,,,
District 4,Oregon,785159,,,,,,,,,,,
District 4,Pennsylvania,720275,,,,,,,,,,,
District 4,South Carolina,708271,,,,,,,,,,,
District 4,Tennessee,756359,,,,,,,,,,,
District 4,Texas,728435,,,,,,,,,,,
District 4,Utah,773536,,,,,,,,,3450,4804,
District 4,Virginia,760613,,,,,,,,,,,
District 4,Washington,711057,,,,,,,,,,,
District 4,Wisconsin,715308,,,,,,,,,,,
District 40,California,714946,,,,,,,,,,,
District 41,California,747233,,,,,,,,,,,
District 42,California,777599,,,,,,,,,,,
District 43,California,726570,,,,,,,,,,,
District 44,California,723533,,,,,,,,,,,
District 45,California,762519,,,,,,,,,,,
District 46,California,730094,,,,,,,,,,,
District 47,California,717209,,,,,,,,,,,
District 48,California,727426,,,,,,,,,,,
District 49,California,736520,,,,,,,,,,,
District 5,Alabama,708691,,,,,,,,,,,
District 5,Arizona,782680,,,,,,,,,,,
District 5,California,727704,,,,,,,,,,,
District 5,Colorado,772116,,,,,,,,,,,
District 5,Connecticut,715601,,,,,,,,,,,
District 5,Florida,722646,,,,,,,,,,,
District 5,Georgia,751264,,,,,,,,,,,
District 5,Illinois,737064,,,,,,,,,,,
District 5,Indiana,757787,,,,,,,,,,,
