District,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
District 1,New Jersey,730635,37620,5.15,42830,5.86,,,860,0.12
District 10,New Jersey,754301,54488,7.22,59059,7.83,,,1100,0.15
District 11,New Jersey,743033,74043,9.96,82371,11.09,,,,
District 12,New Jersey,757602,125854,16.61,133013,17.56,,,,
District 2,New Jersey,726894,29431,4.05,34372,4.73,,,,
District 3,New Jersey,737263,27114,3.68,34327,4.66,,,1222,0.17
District 4,New Jersey,741766,31162,4.2,34795,4.69,,,,
District 5,New Jersey,745615,79290,10.63,85902,11.52,,,,
District 6,New Jersey,745204,141648,19.01,149040,20,,,,
District 7,New Jersey,745147,73529,9.87,80471,10.8,,,,
District 8,New Jersey,774492,68615,8.86,75748,9.78,,,1476,0.19
District 9,New Jersey,758209,101311,13.36,108404,14.3,,,,
District 1,New Mexico,691746,16027,2.32,25930,3.75,,,1313,0.19
District 2,New Mexico,696944,5336,0.77,9340,1.34,,,,
District 3,New Mexico,696138,8628,1.24,12676,1.82,,,1388,0.2
District 1,New York,721210,29711,4.12,34140,4.73,,,,
District 10,New York,740752,138831,18.74,149383,20.17,,,,
District 11,New York,733750,100581,13.71,108065,14.73,,,,
District 12,New York,732140,101786,13.9,114047,15.58,,,1320,0.18
District 13,New York,782402,36324,4.64,43816,5.6,,,,
District 14,New York,721690,124072,17.19,131040,18.16,,,,
District 15,New York,758424,14201,1.87,17821,2.35,,,,
District 16,New York,745855,38638,5.18,45309,6.07,,,,
District 17,New York,742801,44217,5.95,51043,6.87,,,,
District 18,New York,723244,22334,3.09,28207,3.9,,,1313,0.18
District 19,New York,705473,11802,1.67,15070,2.14,,,,
District 2,New York,721061,22669,3.14,28034,3.89,,,,
District 20,New York,727071,36523,5.02,42320,5.82,,,1317,0.18
District 21,New York,712223,6951,0.98,9590,1.35,,,1232,0.17
District 22,New York,704369,19369,2.75,23138,3.28,,,,
District 23,New York,706305,17367,2.46,20924,2.96,,,,
District 24,New York,712307,19777,2.78,23829,3.35,,,962,0.14
District 25,New York,721651,27348,3.79,32673,4.53,,,880,0.12
District 26,New York,715764,28926,4.04,33293,4.65,,,,
District 27,New York,718095,7698,1.07,10260,1.43,,,,
District 3,New York,731138,112604,15.4,119997,16.41,,,,
District 4,New York,724387,47823,6.6,53597,7.4,,,,
District 5,New York,784341,109383,13.95,122085,15.57,,,3483,0.44
District 6,New York,742207,296147,39.9,307453,41.42,,,,
District 7,New York,750580,141235,18.82,150868,20.1,,,,
District 8,New York,772709,42613,5.51,49046,6.35,,,859,0.11
District 9,New York,746279,53916,7.22,63070,8.45,,,,
District 1,North Carolina,750304,15042,2,18876,2.52,,,,
District 10,North Carolina,749120,12280,1.64,14672,1.96,,,,
District 11,North Carolina,746213,8811,1.18,10572,1.42,,,,
District 12,North Carolina,830510,45962,5.53,52296,6.3,,,1518,0.18
District 13,North Carolina,762411,26006,3.41,29575,3.88,,,,
District 2,North Carolina,806396,14128,1.75,20512,2.54,,,,
District 3,North Carolina,754005,11262,1.49,16743,2.22,,,2123,0.28
District 4,North Carolina,825295,69537,8.43,76737,9.3,,,1151,0.14
District 5,North Carolina,749093,10670,1.42,13207,1.76,,,1322,0.18
District 6,North Carolina,757229,12186,1.61,14372,1.9,,,,
District 7,North Carolina,777138,6425,0.83,9848,1.27,,,1174,0.15
District 8,North Carolina,772777,17312,2.24,24172,3.13,956,0.12,2206,0.29
District 9,North Carolina,772073,19543,2.53,23707,3.07,,,,
District (at Large),North Dakota,745475,10197,1.37,13593,1.82,,,1245,0.17
