County,State,Total Population,Asian Alone,Share Asian Alone,Asian Combo,Share Asian Combo,NHPI Alone,Share NHPI Alone,NHPI Combo,Share NHPI Combo
Mineral County,West Virginia,27421,,,176,0.64,,,,
Mingo County,West Virginia,25150,,,,,,,,
Monongalia County,West Virginia,103715,3433,3.31,4077,3.93,,,,
Monroe County,West Virginia,13517,,,,,,,,
Morgan County,West Virginia,17510,,,97,0.55,,,,
Nicholas County,West Virginia,25496,,,,,,,,
Ohio County,West Virginia,42906,321,0.75,454,1.06,,,,
Pendleton County,West Virginia,7138,,,,,,,,
Pleasants County,West Virginia,7527,,,,,,,,
Pocahontas County,West Virginia,8574,,,,,,,,
Preston County,West Virginia,33760,,,,,,,,
Putnam County,West Virginia,56644,,,553,0.98,,,,
Raleigh County,West Virginia,77097,805,1.04,945,1.23,,,,
Randolph County,West Virginia,29152,150,0.51,160,0.55,,,,
Ritchie County,West Virginia,10005,,,,,,,,
Roane County,West Virginia,14348,,,,,,,,
Summers County,West Virginia,13210,,,,,,,,
Taylor County,West Virginia,16977,,,,,,,,
Tucker County,West Virginia,7035,,,,,,,,
Tyler County,West Virginia,8949,,,,,,,,
Upshur County,West Virginia,24604,,,,,,,,
Wayne County,West Virginia,41063,,,151,0.37,,,,
Webster County,West Virginia,8637,,,,,,,,
Wetzel County,West Virginia,15793,,,,,,,,
Wirt County,West Virginia,5800,,,,,,,,
Wood County,West Virginia,86016,,,709,0.82,,,,
Wyoming County,West Virginia,22130,,,,,,,,
Adams County,Wisconsin,20111,,,158,0.79,,,,
Ashland County,Wisconsin,15779,,,155,0.98,,,,
Barron County,Wisconsin,45358,326,0.72,398,0.88,,,,
Bayfield County,Wisconsin,15004,81,0.54,109,0.73,,,,
Brown County,Wisconsin,258004,7971,3.09,9195,3.56,,,,
Buffalo County,Wisconsin,13243,,,,,,,,
Burnett County,Wisconsin,15239,,,110,0.72,,,,
Calumet County,Wisconsin,49737,1140,2.29,1359,2.73,,,,
Chippewa County,Wisconsin,63445,831,1.31,1047,1.65,,,,
Clark County,Wisconsin,34513,,,230,0.67,,,,
Columbia County,Wisconsin,56790,367,0.65,541,0.95,,,,
Crawford County,Wisconsin,16313,,,124,0.76,,,,
Dane County,Wisconsin,522837,29588,5.66,34488,6.6,198,0.04,,
Dodge County,Wisconsin,87833,482,0.55,776,0.88,,,,
Door County,Wisconsin,27443,147,0.54,174,0.63,,,,
Douglas County,Wisconsin,43503,455,1.05,614,1.41,,,,
Dunn County,Wisconsin,44260,1176,2.66,1421,3.21,,,,
Eau Claire County,Wisconsin,102388,3594,3.51,4241,4.14,,,,
Florence County,Wisconsin,4354,,,,,,,,
Fond du Lac County,Wisconsin,102082,1424,1.39,1769,1.73,,,,
Forest County,Wisconsin,9035,,,50,0.55,,,,
Grant County,Wisconsin,51742,412,0.8,494,0.95,,,,
Green County,Wisconsin,36869,251,0.68,327,0.89,,,,
Green Lake County,Wisconsin,18745,,,,,,,,
Iowa County,Wisconsin,23576,147,0.62,212,0.9,,,,
Iron County,Wisconsin,5748,,,,,,,,
Jackson County,Wisconsin,20531,75,0.37,143,0.7,,,,
Jefferson County,Wisconsin,84586,570,0.67,952,1.13,,,,
Juneau County,Wisconsin,26427,132,0.5,197,0.75,,,,
Kenosha County,Wisconsin,167886,2257,1.34,3561,2.12,,,,
Kewaunee County,Wisconsin,20378,77,0.38,105,0.52,,,,
La Crosse County,Wisconsin,117582,5200,4.42,5831,4.96,,,,
Lafayette County,Wisconsin,16755,,,111,0.66,,,,
Langlade County,Wisconsin,19190,,,,,,,,
Lincoln County,Wisconsin,27994,,,206,0.74,,,,
Manitowoc County,Wisconsin,79680,2096,2.63,2449,3.07,,,,
Marathon County,Wisconsin,135293,7698,5.69,8320,6.15,,,,
Marinette County,Wisconsin,40712,,,341,0.84,,,,
Marquette County,Wisconsin,15164,,,126,0.83,,,,
Menominee County,Wisconsin,4506,,,,,,,,
Milwaukee County,Wisconsin,956586,39124,4.09,44146,4.61,,,1238,0.13
Monroe County,Wisconsin,45303,364,0.8,525,1.16,,,,
Oconto County,Wisconsin,37465,168,0.45,209,0.56,,,,
Oneida County,Wisconsin,35352,,,283,0.8,,,,
Outagamie County,Wisconsin,183288,6165,3.36,6942,3.79,,,,
Ozaukee County,Wisconsin,87817,1796,2.05,2518,2.87,,,,
Pepin County,Wisconsin,7282,,,,,,,,
Pierce County,Wisconsin,41226,510,1.24,621,1.51,,,,
Polk County,Wisconsin,43328,169,0.39,306,0.71,,,,
Portage County,Wisconsin,70371,1870,2.66,2357,3.35,,,,
Price County,Wisconsin,13566,,,117,0.86,115,0.85,128,0.94
Racine County,Wisconsin,195101,2370,1.21,3142,1.61,,,,
Richland County,Wisconsin,17626,90,0.51,140,0.79,,,,
Rock County,Wisconsin,161226,1899,1.18,2674,1.66,,,,
Rusk County,Wisconsin,14211,,,108,0.76,,,,
Sauk County,Wisconsin,63340,437,0.69,578,0.91,,,,
Sawyer County,Wisconsin,16384,87,0.53,121,0.74,,,,
Shawano County,Wisconsin,41136,,,298,0.72,,,,
Sheboygan County,Wisconsin,115094,6176,5.37,6598,5.73,,,,
St. Croix County,Wisconsin,87142,908,1.04,1394,1.6,,,,
Taylor County,Wisconsin,20344,,,,,,,,
Trempealeau County,Wisconsin,29510,,,224,0.76,,,,
Vernon County,Wisconsin,30378,,,209,0.69,,,,
Vilas County,Wisconsin,21465,124,0.58,156,0.73,,,,
Walworth County,Wisconsin,102917,1007,0.98,1291,1.25,,,,
Washburn County,Wisconsin,15638,,,103,0.66,,,,
Washington County,Wisconsin,133967,1571,1.17,2156,1.61,,,,
Waukesha County,Wisconsin,396731,12853,3.24,15507,3.91,,,,
Waupaca County,Wisconsin,51651,,,332,0.64,,,,
Waushara County,Wisconsin,24170,86,0.36,157,0.65,,,,
Winnebago County,Wisconsin,169540,4430,2.61,5403,3.19,,,,
Wood County,Wisconsin,73427,1482,2.02,1630,2.22,,,,
Albany County,Wyoming,37944,1135,2.99,1646,4.34,,,,
Big Horn County,Wyoming,11920,,,77,0.65,,,,
Campbell County,Wyoming,48116,,,481,1,,,,
Carbon County,Wyoming,15689,,,,,,,,
Converse County,Wyoming,14166,,,,,,,,
Crook County,Wyoming,7347,,,,,,,,
Fremont County,Wyoming,40354,,,,,,,,
Goshen County,Wyoming,13479,,,,,,,,
Hot Springs County,Wyoming,4741,,,,,,,,
Johnson County,Wyoming,8562,,,,,,,,
Laramie County,Wyoming,97031,1171,1.21,2152,2.22,,,,
Lincoln County,Wyoming,18791,,,173,0.92,,,,
Natrona County,Wyoming,81023,652,0.8,1013,1.25,,,,
Niobrara County,Wyoming,2479,,,,,,,,
Park County,Wyoming,29276,,,319,1.09,,,,
Platte County,Wyoming,8703,,,,,,,,
Sheridan County,Wyoming,29964,,,383,1.28,,,,
Sublette County,Wyoming,10037,,,,,,,,
Sweetwater County,Wyoming,44527,,,611,1.37,,,,
Teton County,Wyoming,22923,,,,,,,,
Uinta County,Wyoming,20758,,,,,,,,
Washakie County,Wyoming,8253,,,,,,,,
Weston County,Wyoming,7117,,,,,,,,
