County,State,Group Population,No Health INS,Share No Health INS
Erath County,Texas,314,,
Erie County,New York,31873,,
Erie County,Ohio,,,
Erie County,Pennsylvania,4483,,
Escambia County,Alabama,,,
Escambia County,Florida,8668,,
Esmeralda County,Nevada,,,
Essex County,Massachusetts,26534,,
Essex County,New Jersey,41190,,
Essex County,New York,,,
Essex County,Vermont,,,
Essex County,Virginia,,,
Estill County,Kentucky,,,
Etowah County,Alabama,706,,
Eureka County,Nevada,,,
Evangeline Parish,Louisiana,,,
Evans County,Georgia,,,
Fairbanks North Star Borough,Alaska,2807,,
Fairfax city,Virginia,3771,,
Fairfield County,Connecticut,48878,,
Fairfield County,Ohio,2370,,
Fairfield County,South Carolina,,,
Fajardo Municipio,Puerto Rico,,,
Fall River County,South Dakota,,,
Fallon County,Montana,,,
Falls Church city,Virginia,1282,,
Falls County,Texas,,,
Fannin County,Georgia,,,
Fannin County,Texas,225,,
Faribault County,Minnesota,,,
Faulk County,South Dakota,,,
Faulkner County,Arkansas,1545,,
Fauquier County,Virginia,939,,
Fayette County,Alabama,,,
Fayette County,Georgia,4922,,
Fayette County,Illinois,106,,
Fayette County,Indiana,,,
Fayette County,Iowa,184,,
Fayette County,Kentucky,11196,,
Fayette County,Ohio,238,,
Fayette County,Pennsylvania,,,
Fayette County,Tennessee,273,,
Fayette County,Texas,,,
Fayette County,West Virginia,,,
Fentress County,Tennessee,,,
Fergus County,Montana,,,
Ferry County,Washington,,,
Fillmore County,Minnesota,,,
Fillmore County,Nebraska,,,
Finney County,Kansas,1456,,
Fisher County,Texas,,,
Flagler County,Florida,2648,,
Flathead County,Montana,,,
Fleming County,Kentucky,,,
Florence County,South Carolina,1808,,
Florence County,Wisconsin,,,
Florida Municipio,Puerto Rico,,,
Floyd County,Georgia,1474,,
Floyd County,Indiana,823,,
Floyd County,Iowa,270,,
Floyd County,Kentucky,,,
Floyd County,Texas,,,
Floyd County,Virginia,,,
Fluvanna County,Virginia,,,
Foard County,Texas,,,
Fond du Lac County,Wisconsin,1424,,
Ford County,Illinois,,,
Ford County,Kansas,493,,
Forest County,Pennsylvania,,,
Forest County,Wisconsin,,,
Forrest County,Mississippi,637,,
Forsyth County,Georgia,22313,,
Forsyth County,North Carolina,8025,,
Fort Bend County,Texas,137329,,
Foster County,North Dakota,,,
Fountain County,Indiana,,,
Franklin city,Virginia,,,
Franklin County,Alabama,117,,
Franklin County,Arkansas,,,
Franklin County,Florida,,,
Franklin County,Georgia,,,
Franklin County,Idaho,,,
Franklin County,Illinois,,,
Franklin County,Indiana,,,
Franklin County,Iowa,,,
Franklin County,Kansas,,,
Franklin County,Kentucky,906,,
Franklin County,Maine,138,,
Franklin County,Massachusetts,1129,,
Franklin County,Mississippi,,,
Franklin County,Missouri,592,,
Franklin County,Nebraska,,,
Franklin County,New York,193,,
Franklin County,North Carolina,,,
Franklin County,Ohio,60101,,
Franklin County,Pennsylvania,1523,,
Franklin County,Tennessee,,,
Franklin County,Texas,,,
Franklin County,Vermont,,,
Franklin County,Virginia,,,
Franklin County,Washington,1914,,
Franklin Parish,Louisiana,,,
Frederick County,Maryland,11156,,
Frederick County,Virginia,1172,,
Fredericksburg city,Virginia,669,,
Freeborn County,Minnesota,574,,
Freestone County,Texas,,,
Fremont County,Colorado,,,
Fremont County,Idaho,,,
Fremont County,Iowa,,,
Fremont County,Wyoming,,,
Fresno County,California,97441,,
Frio County,Texas,,,
Frontier County,Nebraska,,,
Fulton County,Arkansas,,,
Fulton County,Georgia,67474,,
Fulton County,Illinois,,,
Fulton County,Indiana,,,
Fulton County,Kentucky,,,
Fulton County,New York,379,,
Fulton County,Ohio,,,
Fulton County,Pennsylvania,,,
Furnas County,Nebraska,,,
Gadsden County,Florida,,,
Gage County,Nebraska,136,,
Gaines County,Texas,89,,
Galax city,Virginia,,,
Gallatin County,Illinois,,,
Gallatin County,Kentucky,,,
Gallatin County,Montana,1317,,
Gallia County,Ohio,198,,
Galveston County,Texas,10889,,
Garden County,Nebraska,,,
Garfield County,Colorado,452,,
Garfield County,Montana,,,
Garfield County,Nebraska,,,
Garfield County,Oklahoma,463,,
Garfield County,Utah,,,
Garfield County,Washington,,,
Garland County,Arkansas,,,
Garrard County,Kentucky,,,
Garrett County,Maryland,111,,
Garvin County,Oklahoma,,,
Garza County,Texas,,,
Gasconade County,Missouri,,,
Gaston County,North Carolina,3162,,
Gates County,North Carolina,,,
Geary County,Kansas,947,,
Geauga County,Ohio,600,,
Gem County,Idaho,,,
Genesee County,Michigan,4288,,
Genesee County,New York,406,,
Geneva County,Alabama,,,
Gentry County,Missouri,,,
George County,Mississippi,,,
Georgetown County,South Carolina,,,
Gibson County,Indiana,,,
Gibson County,Tennessee,,,
Gila County,Arizona,467,,
Gilchrist County,Florida,,,
Giles County,Tennessee,169,,
Giles County,Virginia,,,
Gillespie County,Texas,,,
Gilliam County,Oregon,,,
Gilmer County,Georgia,145,,
Gilmer County,West Virginia,,,
Gilpin County,Colorado,,,
Glacier County,Montana,,,
Glades County,Florida,,,
Gladwin County,Michigan,118,,
Glascock County,Georgia,,,
Glasscock County,Texas,,,
Glenn County,California,728,,
Gloucester County,New Jersey,8894,,
Gloucester County,Virginia,,,
Glynn County,Georgia,1074,,
Gogebic County,Michigan,,,
Golden Valley County,Montana,,,
Golden Valley County,North Dakota,,,
Goliad County,Texas,,,
Gonzales County,Texas,,,
Goochland County,Virginia,,,
Goodhue County,Minnesota,,,
Gooding County,Idaho,,,
Gordon County,Georgia,636,,
Goshen County,Wyoming,,,
Gosper County,Nebraska,,,
Gove County,Kansas,,,
Grady County,Georgia,136,,
Grady County,Oklahoma,,,
Grafton County,New Hampshire,3016,,
Graham County,Arizona,,,
Graham County,Kansas,,,
Graham County,North Carolina,,,
Grainger County,Tennessee,,,
Grand County,Colorado,,,
Grand County,Utah,,,
Grand Forks County,North Dakota,1766,,
Grand Isle County,Vermont,33,,
Grand Traverse County,Michigan,583,,
Granite County,Montana,,,
Grant County,Arkansas,,,
Grant County,Indiana,578,,
Grant County,Kansas,,,
Grant County,Kentucky,,,
Grant County,Minnesota,,,
Grant County,Nebraska,,,
Grant County,New Mexico,,,
Grant County,North Dakota,,,
Grant County,Oklahoma,,,
Grant County,Oregon,,,
Grant County,South Dakota,,,
Grant County,Washington,1024,,
Grant County,West Virginia,,,
Grant County,Wisconsin,403,,
Grant Parish,Louisiana,,,
Granville County,North Carolina,,,
Gratiot County,Michigan,,,
Graves County,Kentucky,176,,
Gray County,Kansas,,,
Gray County,Texas,156,,
Grays Harbor County,Washington,1052,,
Grayson County,Kentucky,,,
Grayson County,Texas,1677,,
Grayson County,Virginia,,,
Greeley County,Kansas,,,
Greeley County,Nebraska,,,
Green County,Kentucky,,,
Green County,Wisconsin,251,,
Green Lake County,Wisconsin,,,
Greenbrier County,West Virginia,,,
Greene County,Alabama,,,
Greene County,Arkansas,,,
Greene County,Georgia,161,,
Greene County,Illinois,,,
Greene County,Indiana,,,
Greene County,Iowa,,,
Greene County,Mississippi,,,
Greene County,Missouri,5452,,
Greene County,New York,486,,
Greene County,North Carolina,,,
Greene County,Ohio,4844,,
Greene County,Pennsylvania,123,,
Greene County,Tennessee,,,
Greene County,Virginia,241,,
Greenlee County,Arizona,,,
Greensville County,Virginia,,,
Greenup County,Kentucky,,,
Greenville County,South Carolina,10932,,
Greenwood County,Kansas,,,
Greenwood County,South Carolina,648,,
Greer County,Oklahoma,,,
Gregg County,Texas,1676,,
Gregory County,South Dakota,,,
Grenada County,Mississippi,,,
Griggs County,North Dakota,,,
Grimes County,Texas,,,
Grundy County,Illinois,386,,
Grundy County,Iowa,,,
Grundy County,Missouri,,,
Grundy County,Tennessee,,,
Guadalupe County,New Mexico,,,
Guadalupe County,Texas,2570,,
Guánica Municipio,Puerto Rico,,,
Guayama Municipio,Puerto Rico,,,
Guayanilla Municipio,Puerto Rico,,,
Guaynabo Municipio,Puerto Rico,,,
Guernsey County,Ohio,,,
Guilford County,North Carolina,24734,,
Gulf County,Florida,86,,
Gunnison County,Colorado,,,
Gurabo Municipio,Puerto Rico,,,
Guthrie County,Iowa,29,,
Gwinnett County,Georgia,99816,,
Haakon County,South Dakota,,,
Habersham County,Georgia,1028,,
Haines Borough,Alaska,,,
Hale County,Alabama,,,
Hale County,Texas,,,
Halifax County,North Carolina,443,,
Halifax County,Virginia,242,,
Hall County,Georgia,3321,,
Hall County,Nebraska,768,,
Hall County,Texas,,,
Hamblen County,Tennessee,614,,
Hamilton County,Florida,,,
Hamilton County,Illinois,,,
Hamilton County,Indiana,17892,,
Hamilton County,Iowa,459,,
Hamilton County,Kansas,,,
Hamilton County,Nebraska,,,
Hamilton County,New York,,,
Hamilton County,Ohio,19796,,
Hamilton County,Tennessee,7165,,
Hamilton County,Texas,,,
Hamlin County,South Dakota,,,
Hampden County,Massachusetts,10382,,
Hampshire County,Massachusetts,8491,,
Hampshire County,West Virginia,,,
Hampton city,Virginia,3122,,
Hampton County,South Carolina,,,
Hancock County,Georgia,,,
Hancock County,Illinois,76,,
Hancock County,Indiana,,,
Hancock County,Iowa,,,
Hancock County,Kentucky,,,
Hancock County,Maine,528,,
Hancock County,Mississippi,,,
Hancock County,Ohio,1375,,
Hancock County,Tennessee,,,
Hancock County,West Virginia,141,,
Hand County,South Dakota,,,
Hanover County,Virginia,1560,,
Hansford County,Texas,,,
Hanson County,South Dakota,,,
Haralson County,Georgia,221,,
Hardee County,Florida,,,
Hardeman County,Tennessee,171,,
Hardeman County,Texas,,,
Hardin County,Illinois,,,
Hardin County,Iowa,,,
Hardin County,Kentucky,2088,,
Hardin County,Ohio,245,,
Hardin County,Tennessee,,,
Hardin County,Texas,,,
Harding County,New Mexico,,,
Harding County,South Dakota,,,
Hardy County,West Virginia,,,
Harford County,Maryland,6456,,
Harlan County,Kentucky,110,,
Harlan County,Nebraska,,,
Harmon County,Oklahoma,,,
Harnett County,North Carolina,1262,,
Harney County,Oregon,,,
Harper County,Kansas,,,
Harper County,Oklahoma,,,
Harris County,Georgia,,,
Harrison County,Indiana,,,
Harrison County,Iowa,,,
Harrison County,Kentucky,,,
Harrison County,Mississippi,5620,,
Harrison County,Missouri,,,
Harrison County,Ohio,,,
Harrison County,Texas,462,,
Harrison County,West Virginia,,,
Harrisonburg city,Virginia,2123,,
Hart County,Georgia,234,,
Hart County,Kentucky,,,
Hartford County,Connecticut,45559,,
Hartley County,Texas,,,
Harvey County,Kansas,211,,
Haskell County,Kansas,,,
Haskell County,Oklahoma,,,
Haskell County,Texas,,,
Hatillo Municipio,Puerto Rico,,,
Hawaii County,Hawaii,43176,,
Hawkins County,Tennessee,280,,
Hayes County,Nebraska,,,
Hays County,Texas,2622,,
Haywood County,North Carolina,340,,
Haywood County,Tennessee,,,
Heard County,Georgia,,,
Hemphill County,Texas,,,
Hempstead County,Arkansas,,,
Henderson County,Illinois,,,
Henderson County,Kentucky,,,
Henderson County,North Carolina,1301,,
Henderson County,Tennessee,,,
Henderson County,Texas,528,,
Hendricks County,Indiana,4046,,
Hendry County,Florida,342,,
Hennepin County,Minnesota,85626,,
Henrico County,Virginia,25841,,
Henry County,Alabama,,,
Henry County,Georgia,7177,,
Henry County,Illinois,264,,
Henry County,Indiana,,,
Henry County,Iowa,511,,
Henry County,Kentucky,,,
Henry County,Missouri,,,
Henry County,Ohio,114,,
Henry County,Tennessee,,,
Henry County,Virginia,334,,
Herkimer County,New York,330,,
Hernando County,Florida,2190,,
Hertford County,North Carolina,,,
Hettinger County,North Dakota,,,
Hickman County,Kentucky,,,
Hickman County,Tennessee,,,
Hickory County,Missouri,,,
Hidalgo County,New Mexico,,,
Hidalgo County,Texas,8286,,
Highland County,Ohio,177,,
Highland County,Virginia,,,
Highlands County,Florida,1543,,
Hill County,Montana,,,
Hill County,Texas,,,
Hillsborough County,Florida,53271,,
Hillsborough County,New Hampshire,15370,,
Hillsdale County,Michigan,170,,
Hinds County,Mississippi,2002,,
Hinsdale County,Colorado,,,
Hitchcock County,Nebraska,,,
Hocking County,Ohio,,,
Hockley County,Texas,,,
Hodgeman County,Kansas,,,
Hoke County,North Carolina,700,,
Holmes County,Florida,,,
Holmes County,Mississippi,,,
Holmes County,Ohio,,,
Holt County,Missouri,20,,
Holt County,Nebraska,,,
Honolulu County,Hawaii,418848,,
Hood County,Texas,469,,
Hood River County,Oregon,429,,
Hooker County,Nebraska,,,
Hoonah-Angoon Census Area,Alaska,,,
Hopewell city,Virginia,277,,
Hopkins County,Kentucky,251,,
Hopkins County,Texas,254,,
Hormigueros Municipio,Puerto Rico,,,
Horry County,South Carolina,3777,,
Hot Spring County,Arkansas,,,
Hot Springs County,Wyoming,,,
Houghton County,Michigan,1059,,
Houston County,Alabama,897,,
Houston County,Georgia,4447,,
Houston County,Minnesota,,,
Houston County,Tennessee,,,
Houston County,Texas,,,
Howard County,Arkansas,,,
Howard County,Indiana,1041,,
Howard County,Iowa,,,
Howard County,Maryland,54153,,
Howard County,Missouri,,,
Howard County,Nebraska,,,
Howard County,Texas,,,
Howell County,Missouri,,,
Hubbard County,Minnesota,131,,
Hudson County,New Jersey,102915,,
Hudspeth County,Texas,,,
Huerfano County,Colorado,,,
Hughes County,Oklahoma,,,
Hughes County,South Dakota,,,
Humacao Municipio,Puerto Rico,,,
Humboldt County,California,3924,,
Humboldt County,Iowa,,,
Humboldt County,Nevada,,,
Humphreys County,Mississippi,,,
Humphreys County,Tennessee,,,
Hunt County,Texas,1088,,
Hunterdon County,New Jersey,4825,,
Huntingdon County,Pennsylvania,225,,
Huntington County,Indiana,300,,
Huron County,Michigan,195,,
Huron County,Ohio,,,
Hutchinson County,South Dakota,,,
Hutchinson County,Texas,131,,
Hyde County,North Carolina,,,
Hyde County,South Dakota,,,
Iberia Parish,Louisiana,2035,,
Iberville Parish,Louisiana,,,
Ida County,Iowa,,,
Idaho County,Idaho,,,
Imperial County,California,2448,,
Independence County,Arkansas,,,
Indian River County,Florida,1817,,
Indiana County,Pennsylvania,941,,
Ingham County,Michigan,17281,,
Inyo County,California,,,
Ionia County,Michigan,,,
Iosco County,Michigan,,,
Iowa County,Iowa,,,
Iowa County,Wisconsin,147,,
Iredell County,North Carolina,3955,,
Irion County,Texas,,,
Iron County,Michigan,52,,
Iron County,Missouri,,,
Iron County,Utah,,,
Iron County,Wisconsin,,,
Iroquois County,Illinois,119,,
Irwin County,Georgia,,,
Isabela Municipio,Puerto Rico,,,
Isabella County,Michigan,1172,,
Isanti County,Minnesota,,,
Island County,Washington,3432,,
Isle of Wight County,Virginia,,,
Issaquena County,Mississippi,,,
Itasca County,Minnesota,189,,
Itawamba County,Mississippi,,,
Izard County,Arkansas,,,
Jack County,Texas,,,
Jackson County,Alabama,238,,
Jackson County,Arkansas,,,
Jackson County,Colorado,,,
Jackson County,Florida,,,
Jackson County,Georgia,1053,,
Jackson County,Illinois,1976,,
Jackson County,Indiana,812,,
Jackson County,Iowa,89,,
Jackson County,Kansas,,,
Jackson County,Kentucky,,,
Jackson County,Michigan,1143,,
Jackson County,Minnesota,257,,
Jackson County,Mississippi,3096,,
Jackson County,Missouri,12705,,
Jackson County,North Carolina,414,,
Jackson County,Ohio,,,
Jackson County,Oklahoma,317,,
Jackson County,Oregon,2527,,
Jackson County,South Dakota,,,
Jackson County,Tennessee,,,
Jackson County,Texas,,,
Jackson County,West Virginia,,,
Jackson County,Wisconsin,,,
Jackson Parish,Louisiana,76,,
James City County,Virginia,1811,,
Jasper County,Georgia,,,
Jasper County,Illinois,,,
Jasper County,Indiana,,,
Jasper County,Iowa,,,
Jasper County,Mississippi,,,
Jasper County,Missouri,1333,,
Jasper County,South Carolina,,,
Jasper County,Texas,,,
Jay County,Indiana,,,
Jayuya Municipio,Puerto Rico,,,
Jeff Davis County,Georgia,,,
Jeff Davis County,Texas,,,
Jefferson County,Alabama,10154,,
Jefferson County,Arkansas,539,,
Jefferson County,Colorado,15198,,
Jefferson County,Florida,,,
Jefferson County,Georgia,,,
Jefferson County,Idaho,,,
Jefferson County,Illinois,439,,
Jefferson County,Indiana,263,,
Jefferson County,Iowa,,,
Jefferson County,Kansas,,,
Jefferson County,Kentucky,20338,,
Jefferson County,Mississippi,,,
Jefferson County,Missouri,1682,,
Jefferson County,Montana,,,
Jefferson County,Nebraska,,,
Jefferson County,New York,1606,,
Jefferson County,Ohio,,,
Jefferson County,Oklahoma,,,
Jefferson County,Oregon,,,
Jefferson County,Pennsylvania,114,,
Jefferson County,Tennessee,343,,
Jefferson County,Texas,9157,,
Jefferson County,Washington,524,,
Jefferson County,West Virginia,830,,
Jefferson County,Wisconsin,566,,
Jefferson Davis County,Mississippi,,,
Jefferson Davis Parish,Louisiana,139,,
Jefferson Parish,Louisiana,18593,,
Jenkins County,Georgia,,,
Jennings County,Indiana,,,
Jerauld County,South Dakota,,,
Jerome County,Idaho,,,
Jersey County,Illinois,,,
Jessamine County,Kentucky,719,,
Jewell County,Kansas,,,
Jim Hogg County,Texas,,,
Jim Wells County,Texas,,,
Jo Daviess County,Illinois,,,
Johnson County,Arkansas,428,,
Johnson County,Georgia,,,
Johnson County,Illinois,,,
Johnson County,Indiana,4181,,
Johnson County,Iowa,8984,,
Johnson County,Kansas,27467,,
Johnson County,Kentucky,,,
Johnson County,Missouri,790,,
Johnson County,Nebraska,,,
Johnson County,Tennessee,,,
Johnson County,Texas,1244,,
Johnson County,Wyoming,,,
Johnston County,North Carolina,1222,,
Johnston County,Oklahoma,,,
Jones County,Georgia,198,,
Jones County,Iowa,,,
Jones County,Mississippi,361,,
Jones County,North Carolina,,,
Jones County,South Dakota,,,
Jones County,Texas,,,
Josephine County,Oregon,,,
Juab County,Utah,,,
Juana Díaz Municipio,Puerto Rico,,,
Judith Basin County,Montana,,,
Juncos Municipio,Puerto Rico,,,
Juneau City and Borough,Alaska,2378,,
Juneau County,Wisconsin,,,
Juniata County,Pennsylvania,,,
Kalamazoo County,Michigan,6202,,
Kalawao County,Hawaii,,,
Kalkaska County,Michigan,,,
Kanabec County,Minnesota,,,
Kanawha County,West Virginia,1983,,
Kandiyohi County,Minnesota,347,,
Kane County,Illinois,20818,,
Kane County,Utah,,,
Kankakee County,Illinois,1081,,
Karnes County,Texas,,,
Kauai County,Hawaii,24591,,
Kaufman County,Texas,1239,,
Kay County,Oklahoma,,,
Kearney County,Nebraska,,,
Kearny County,Kansas,,,
Keith County,Nebraska,,,
Kemper County,Mississippi,,,
Kenai Peninsula Borough,Alaska,859,,
Kendall County,Illinois,3981,,
Kendall County,Texas,,,
Kenedy County,Texas,,,
Kennebec County,Maine,1059,,
Kenosha County,Wisconsin,2257,,
Kent County,Delaware,3451,,
Kent County,Maryland,218,,
Kent County,Michigan,18149,,
Kent County,Rhode Island,4100,,
Kent County,Texas,,,
Kenton County,Kentucky,2057,,
Keokuk County,Iowa,,,
Kern County,California,40523,,
Kerr County,Texas,509,,
Kershaw County,South Carolina,,,
Ketchikan Gateway Borough,Alaska,1096,,
Kewaunee County,Wisconsin,77,,
Keweenaw County,Michigan,,,
Keya Paha County,Nebraska,,,
Kidder County,North Dakota,,,
Kimball County,Nebraska,,,
Kimble County,Texas,,,
King and Queen County,Virginia,,,
King County,Texas,,,
King George County,Virginia,272,,
King William County,Virginia,180,,
Kingfisher County,Oklahoma,,,
Kingman County,Kansas,,,
Kings County,California,5283,,
Kings County,New York,313323,,
Kingsbury County,South Dakota,,,
Kinney County,Texas,,,
Kiowa County,Colorado,,,
Kiowa County,Kansas,,,
Kiowa County,Oklahoma,,,
Kit Carson County,Colorado,,,
Kitsap County,Washington,12020,,
Kittitas County,Washington,815,,
Kittson County,Minnesota,,,
Klamath County,Oregon,626,,
Kleberg County,Texas,611,,
Klickitat County,Washington,,,
Knott County,Kentucky,,,
Knox County,Illinois,529,,
Knox County,Indiana,309,,
Knox County,Kentucky,,,
Knox County,Maine,,,
Knox County,Missouri,,,
Knox County,Nebraska,,,
Knox County,Ohio,,,
Knox County,Tennessee,9693,,
Knox County,Texas,,,
Kodiak Island Borough,Alaska,3030,,
Koochiching County,Minnesota,,,
Kootenai County,Idaho,1070,,
Kosciusko County,Indiana,819,,
Kossuth County,Iowa,,,
Kusilvak Census Area,Alaska,40,,
La Crosse County,Wisconsin,5197,,
La Paz County,Arizona,162,,
La Plata County,Colorado,,,
La Salle County,Texas,,,
Labette County,Kansas,,,
Lac qui Parle County,Minnesota,,,
Lackawanna County,Pennsylvania,5370,,
Laclede County,Missouri,,,
Lafayette County,Arkansas,,,
Lafayette County,Florida,,,
Lafayette County,Mississippi,1110,,
Lafayette County,Missouri,158,,
Lafayette County,Wisconsin,,,
Lafayette Parish,Louisiana,4137,,
Lafourche Parish,Louisiana,789,,
LaGrange County,Indiana,,,
Lajas Municipio,Puerto Rico,,,
Lake and Peninsula Borough,Alaska,,,
Lake County,California,950,,
Lake County,Colorado,,,
Lake County,Florida,6212,,
Lake County,Illinois,49984,,
Lake County,Indiana,6701,,
Lake County,Michigan,,,
Lake County,Minnesota,,,
Lake County,Montana,,,
Lake County,Ohio,2797,,
Lake County,Oregon,,,
Lake County,South Dakota,,,
Lake County,Tennessee,,,
Lake of the Woods County,Minnesota,,,
Lamar County,Alabama,,,
Lamar County,Georgia,138,,
Lamar County,Mississippi,843,,
Lamar County,Texas,437,,
Lamb County,Texas,,,
Lamoille County,Vermont,161,,
LaMoure County,North Dakota,,,
Lampasas County,Texas,,,
Lancaster County,Nebraska,12966,,
Lancaster County,Pennsylvania,11493,,
Lancaster County,South Carolina,828,,
Lancaster County,Virginia,,,
Lander County,Nevada,,,
Lane County,Kansas,,,
Lane County,Oregon,9236,,
Langlade County,Wisconsin,,,
Lanier County,Georgia,,,
Lapeer County,Michigan,,,
LaPorte County,Indiana,628,,
Laramie County,Wyoming,1086,,
Lares Municipio,Puerto Rico,,,
Larimer County,Colorado,6784,,
Larue County,Kentucky,,,
Las Animas County,Colorado,,,
Las Marías Municipio,Puerto Rico,,,
Las Piedras Municipio,Puerto Rico,,,
LaSalle County,Illinois,850,,
LaSalle Parish,Louisiana,,,
Lassen County,California,,,
Latah County,Idaho,1033,,
Latimer County,Oklahoma,,,
Lauderdale County,Alabama,626,,
Lauderdale County,Mississippi,,,
Lauderdale County,Tennessee,,,
Laurel County,Kentucky,,,
Laurens County,Georgia,522,,
Laurens County,South Carolina,232,,
Lavaca County,Texas,,,
Lawrence County,Alabama,,,
Lawrence County,Arkansas,,,
Lawrence County,Illinois,,,
Lawrence County,Indiana,,,
Lawrence County,Kentucky,,,
Lawrence County,Mississippi,,,
Lawrence County,Missouri,195,,
Lawrence County,Ohio,,,
Lawrence County,Pennsylvania,,,
Lawrence County,South Dakota,234,,
Lawrence County,Tennessee,,,
Le Flore County,Oklahoma,,,
Le Sueur County,Minnesota,,,
Lea County,New Mexico,,,
Leake County,Mississippi,,,
Leavenworth County,Kansas,1022,,
Lebanon County,Pennsylvania,1805,,
Lee County,Alabama,5959,,
Lee County,Arkansas,,,
Lee County,Florida,10841,,
Lee County,Georgia,717,,
Lee County,Illinois,215,,
Lee County,Iowa,210,,
Lee County,Kentucky,,,
Lee County,Mississippi,681,,
Lee County,North Carolina,615,,
Lee County,South Carolina,,,
Lee County,Texas,,,
Lee County,Virginia,,,
Leelanau County,Michigan,157,,
Leflore County,Mississippi,216,,
Lehigh County,Pennsylvania,11946,,
Lemhi County,Idaho,,,
Lenawee County,Michigan,268,,
Lenoir County,North Carolina,,,
Leon County,Florida,9589,,
Leon County,Texas,126,,
Leslie County,Kentucky,,,
Letcher County,Kentucky,57,,
Levy County,Florida,,,
Lewis and Clark County,Montana,426,,
Lewis County,Idaho,30,,
Lewis County,Kentucky,,,
Lewis County,Missouri,,,
Lewis County,New York,119,,
Lewis County,Tennessee,,,
Lewis County,Washington,970,,
Lewis County,West Virginia,,,
Lexington city,Virginia,,,
Lexington County,South Carolina,4702,,
Liberty County,Florida,,,
Liberty County,Georgia,1246,,
Liberty County,Montana,,,
Liberty County,Texas,450,,
Licking County,Ohio,1700,,
Limestone County,Alabama,1165,,
Limestone County,Texas,151,,
Lincoln County,Arkansas,,,
Lincoln County,Colorado,,,
Lincoln County,Georgia,,,
Lincoln County,Idaho,,,
Lincoln County,Kansas,,,
Lincoln County,Kentucky,,,
Lincoln County,Maine,321,,
Lincoln County,Minnesota,,,
Lincoln County,Mississippi,,,
Lincoln County,Missouri,,,
Lincoln County,Montana,,,
Lincoln County,Nebraska,,,
Lincoln County,Nevada,,,
Lincoln County,New Mexico,,,
Lincoln County,North Carolina,,,
Lincoln County,Oklahoma,,,
Lincoln County,Oregon,582,,
Lincoln County,South Dakota,568,,
Lincoln County,Tennessee,,,
Lincoln County,Washington,65,,
Lincoln County,West Virginia,,,
Lincoln County,Wisconsin,,,
Lincoln County,Wyoming,,,
Lincoln Parish,Louisiana,835,,
Linn County,Iowa,4991,,
Linn County,Kansas,,,
Linn County,Missouri,,,
Linn County,Oregon,1496,,
Lipscomb County,Texas,,,
Litchfield County,Connecticut,3546,,
Little River County,Arkansas,,,
Live Oak County,Texas,,,
Livingston County,Illinois,,,
Livingston County,Kentucky,,,
Livingston County,Michigan,1746,,
Livingston County,Missouri,74,,
Livingston County,New York,887,,
Livingston Parish,Louisiana,,,
Llano County,Texas,,,
Logan County,Arkansas,,,
Logan County,Colorado,209,,
Logan County,Illinois,231,,
Logan County,Kansas,,,
Logan County,Kentucky,,,
Logan County,Nebraska,,,
Logan County,North Dakota,,,
Logan County,Ohio,336,,
Logan County,Oklahoma,,,
Logan County,West Virginia,133,,
Loíza Municipio,Puerto Rico,,,
Long County,Georgia,,,
Lonoke County,Arkansas,494,,
Lorain County,Ohio,3094,,
Los Alamos County,New Mexico,1074,,
Loudon County,Tennessee,,,
Loudoun County,Virginia,64362,,
Louisa County,Iowa,442,,
Louisa County,Virginia,,,
Loup County,Nebraska,,,
Love County,Oklahoma,78,,
Loving County,Texas,,,
Lowndes County,Alabama,,,
Lowndes County,Georgia,2037,,
Lowndes County,Mississippi,596,,
Lubbock County,Texas,6368,,
Lucas County,Iowa,,,
Lucas County,Ohio,7732,,
Luce County,Michigan,,,
Lumpkin County,Georgia,,,
Luna County,New Mexico,,,
Lunenburg County,Virginia,,,
Luquillo Municipio,Puerto Rico,,,
Luzerne County,Pennsylvania,3783,,
Lycoming County,Pennsylvania,704,,
Lyman County,South Dakota,,,
Lynchburg city,Virginia,2178,,
Lynn County,Texas,,,
Lyon County,Iowa,,,
Lyon County,Kansas,704,,
Lyon County,Kentucky,,,
Lyon County,Minnesota,969,,
Lyon County,Nevada,,,
Mackinac County,Michigan,,,
Macomb County,Michigan,31883,,
Macon County,Alabama,,,
Macon County,Georgia,221,,
Macon County,Illinois,1223,,
Macon County,Missouri,,,
Macon County,North Carolina,257,,
Macon County,Tennessee,,,
Macoupin County,Illinois,200,,
Madera County,California,3056,,
Madison County,Alabama,8997,,
Madison County,Arkansas,,,
Madison County,Florida,,,
Madison County,Georgia,413,,
Madison County,Idaho,,,
Madison County,Illinois,2419,,
Madison County,Indiana,,,
Madison County,Iowa,,,
Madison County,Kentucky,770,,
Madison County,Mississippi,2535,,
Madison County,Missouri,,,
Madison County,Montana,,,
Madison County,Nebraska,385,,
Madison County,New York,574,,
Madison County,North Carolina,123,,
Madison County,Ohio,481,,
Madison County,Tennessee,1047,,
Madison County,Texas,,,
Madison County,Virginia,,,
Madison Parish,Louisiana,,,
Magoffin County,Kentucky,,,
Mahaska County,Iowa,297,,
Mahnomen County,Minnesota,25,,
Mahoning County,Ohio,1914,,
Major County,Oklahoma,44,,
Malheur County,Oregon,,,
Manassas city,Virginia,2156,,
Manassas Park city,Virginia,1689,,
Manatee County,Florida,7064,,
Manatí Municipio,Puerto Rico,,,
