District,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
District 3,Massachusetts,760993,58984,25.58,,,,27.75,20.41,,,,,3.49,,,,,,,,,,,,,7.9
District 3,Michigan,731521,13880,,,,13.7,,19.61,8.36,,,,10.97,,,,,,,,,,,,,
District 3,Minnesota,703785,50520,30.44,,,,,12.55,3.57,15.81,,,5.52,,,,,,,,,,,,,16.02
District 3,Mississippi,748858,7804,36.81,,,,,,,,,,,,,,,,,,,,,,,
District 3,Missouri,775379,7584,26.41,,,,,,18.5,,,,,,,,,,,,,,,,,
District 3,Nebraska,605462,4550,,,,,,,,,,,,,,,,,,,,,,,,
District 3,Nevada,762236,105617,6.13,,,,,16.93,48.99,,,4.58,7.26,,,,,,,,,,,2.67,3.53,5.16
District 3,New Jersey,737263,27114,40.85,,,,,14.8,20.47,,,,9.54,,,,,,,,,,,,,
District 3,New Mexico,696138,8628,17.62,,,,,17.41,26.07,,,8.89,,,,,,,,,,,,,,
District 3,New York,731138,112604,35.13,,,,,31.31,4.2,,,,17.54,,,,,,,,3.75,,,,,
District 3,North Carolina,754005,11262,,,,15.37,,,23.66,,,,,,,,,,,,,,,,,
District 3,Ohio,770797,30593,24.59,,,,,18.92,,,,,,,,,,,,,,,,,,
District 3,Oklahoma,773867,11263,22.22,,,,,20.71,,,,,,,,,,,,,,,,,,20.75
District 3,Oregon,820929,55687,4.26,,,,,23.29,8.74,,,6.68,4.85,,,,,,,,,,,,3.61,29.75
District 3,Pennsylvania,695002,7139,24.93,,,,,20.48,7.83,,,,9.33,,,,,,,,,,,,,
District 3,South Carolina,677940,5934,,,,,,28.36,,,,,,,,,,,,,,,,,,
District 3,Tennessee,723001,9311,32.52,,,,,16.3,,,,,,,,,,,,,,,,,,
District 3,Texas,816143,119808,44.71,,,,,19.97,5.66,,,,5.97,,,,,,,,5.77,,,,1.5,8.59
District 3,Utah,740511,13811,16.86,,,,,29.53,,,,13.26,13.73,,,,,,,,,,,,,
District 3,Virginia,738417,19048,9.72,,,,,9.88,33.58,,,,11.81,,,,,,,,,,,,,15.54
District 3,Washington,708507,24082,10.02,,,,,18.09,16.38,,,10.57,11.55,3.42,,,,,,,,,,,,14.87
District 3,West Virginia,597674,3070,,,,,,,,,,,,,,,,,,,,,,,,
District 3,Wisconsin,718086,15504,,,,,,12.14,,58.27,,,6.13,,,,,,,,,,,,,
District 30,California,758784,96355,15.71,,,,,12.36,30.41,,,5.68,13.63,,,,,,,,,,,2.69,2.43,8.7
