District,State,Group Population,No Health INS,Share No Health INS
District 7,Ohio,4666,,
District 7,Pennsylvania,35052,,
District 7,South Carolina,6582,,
District 7,Tennessee,14376,,
District 7,Texas,83011,,
District 7,Virginia,38668,,
District 7,Washington,85480,,
District 7,Wisconsin,11399,,
District 8,Arizona,27202,,
District 8,California,21847,,
District 8,Florida,16059,,
District 8,Georgia,10536,,
District 8,Illinois,94937,,
District 8,Indiana,7364,,
District 8,Maryland,70053,,
District 8,Massachusetts,60177,,
District 8,Michigan,31662,,
District 8,Minnesota,4918,,
District 8,Missouri,4664,,
District 8,New Jersey,68510,,
District 8,New York,42312,,
District 8,North Carolina,16515,,
District 8,Ohio,13391,,
District 8,Pennsylvania,35027,,
District 8,Tennessee,14324,,
District 8,Texas,22889,,
District 8,Virginia,88869,,
District 8,Washington,60927,,
District 8,Wisconsin,16241,,
District 9,Arizona,38074,,
District 9,California,108672,,
District 9,Florida,23658,,
District 9,Georgia,8961,,
District 9,Illinois,92398,,
District 9,Indiana,16884,,
District 9,Massachusetts,10499,,
District 9,Michigan,30520,,
District 9,New Jersey,101284,,
District 9,New York,53854,,
District 9,North Carolina,19383,,
District 9,Ohio,10098,,
District 9,Pennsylvania,4304,,
District 9,Tennessee,11830,,
District 9,Texas,91253,,
District 9,Virginia,9601,,
District 9,Washington,166891,,
Resident Commissioner District (at Large),Puerto Rico,7653,,
