County,State,Total Population,Total NHPI Alone,Fijian,Guamanian or Chamorro,Marshallese,Native Hawaiian,Other Melanesian,Other Micronesian,Other Pacific Islander not specified (check box only),Other Polynesian,Samoan,Tongan,Two or More NHPI
DeSoto County,Florida,35675,,,,,,,,,,,,
Dixie County,Florida,16323,,,,,,,,,,,,
Duval County,Florida,912043,850,,,,,,,,,,,
Escambia County,Florida,309924,,,,,,,,,,,,
Flagler County,Florida,105015,,,,,,,,,,,,
Franklin County,Florida,11675,,,,,,,,,,,,
Gadsden County,Florida,46113,,,,,,,,,,,,
Gilchrist County,Florida,17191,,,,,,,,,,,,
Glades County,Florida,13197,,,,,,,,,,,,
Gulf County,Florida,16018,,,,,,,,,,,,
Hamilton County,Florida,14238,,,,,,,,,,,,
Hardee County,Florida,27326,,,,,,,,,,,,
Hendry County,Florida,39064,,,,,,,,,,,,
Hernando County,Florida,179144,,,,,,,,,,,,
Highlands County,Florida,100177,,,,,,,,,,,,
Hillsborough County,Florida,1351087,,,,,,,,,,,,
Holmes County,Florida,19483,,,,,,,,,,,,
Indian River County,Florida,147981,,,,,,,,,,,,
Jackson County,Florida,48571,,,,,,,,,,,,
Jefferson County,Florida,14085,,,,,,,,,,,,
Lafayette County,Florida,8684,,,,,,,,,,,,
Lake County,Florida,326215,,,,,,,,,,,,
Lee County,Florida,700165,,,,,,,,,,,,
Leon County,Florida,285890,,,,,,,,,,,,
Levy County,Florida,39713,,,,,,,,,,,,
Liberty County,Florida,8347,,,,,,,,,,,,
Madison County,Florida,18518,,,,,,,,,,,,
Manatee County,Florida,363542,,,,,,,,,,,,
Marion County,Florida,343778,,,,,,,,,,,,
Martin County,Florida,155719,,,,,,,,,,,,
Miami-Dade County,Florida,2702602,,,,,,,,,,,,
Monroe County,Florida,76745,,,,,,,,,,,,
Nassau County,Florida,78435,,,,,,,,,,,,
Okaloosa County,Florida,197591,,,,,,,,,,,,
Okeechobee County,Florida,40228,,,,,,,,,,,,
Orange County,Florida,1290216,,,,,,,,,,,,
Osceola County,Florida,325168,418,,,,,,,,,,,
