District,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
District 52,California,142357,41150,40.96,2843,,
District 53,California,97774,29029,45.23,4107,,
District 6,Alabama,11031,3267,38.17,100,,
District 6,Arizona,33245,7762,33.34,578,,
District 6,California,108999,40233,49.6,9944,,
District 6,Colorado,44458,15963,46.22,1522,,
District 6,Florida,12846,3769,41.12,389,,
District 6,Georgia,76234,22057,34.99,295,,
District 6,Illinois,62908,15224,32.36,105,,
District 6,Indiana,9352,2342,32.88,198,,
District 6,Kentucky,13571,5362,49.58,235,,
District 6,Louisiana,16656,5403,39.57,138,,
District 6,Maryland,80029,22737,35.43,410,,
District 6,Massachusetts,30094,8761,38.31,236,,
District 6,Michigan,10749,2759,38.28,225,,
District 6,Minnesota,15059,4050,38.33,99,,
District 6,Missouri,9475,3275,52.22,728,,
District 6,New Jersey,132609,34736,32.54,171,,
District 6,New York,279332,168392,67.21,243,,
District 6,North Carolina,11218,3903,46.61,321,,
District 6,Ohio,2988,,,99,,
District 6,Pennsylvania,31784,7013,29.2,148,,
District 6,South Carolina,7246,2514,48.54,642,,
District 6,Tennessee,6566,1583,35,493,,
District 6,Texas,34368,12976,47.35,1064,,
District 6,Virginia,13918,4911,49.59,452,,
District 6,Washington,27488,7818,46.2,3891,,
District 6,Wisconsin,15617,4609,36.7,165,,
District 7,Alabama,4990,1699,45.62,244,,
District 7,Arizona,18307,8260,55.36,1584,,
District 7,California,108664,36980,47.68,5394,,
District 7,Colorado,24093,7840,46.4,550,,
District 7,Florida,31389,8252,36.3,440,,
District 7,Georgia,96434,36084,44.5,242,,
District 7,Illinois,48699,14724,41.73,213,,
District 7,Indiana,19717,9154,57.76,297,,
District 7,Maryland,48509,13242,35.03,297,,
District 7,Massachusetts,74902,30258,50.89,225,,
District 7,Michigan,6493,1763,38.77,181,,
District 7,Minnesota,5320,1901,50.75,298,,
District 7,Missouri,8995,3211,48.57,1269,,
District 7,New Jersey,69443,14720,28.26,62,,
District 7,New York,133955,81331,71.98,272,,
District 7,North Carolina,6129,2542,57.23,352,,
District 7,Ohio,4490,1201,41.51,61,,
District 7,Pennsylvania,33101,10165,39.47,34,,
District 7,South Carolina,6338,1956,46.05,385,,
District 7,Tennessee,13752,3328,32.8,715,,
