County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Lincoln County,South Dakota,53147,568,,,,,,,,,,,,,,,,,,,,,,,,
Lyman County,South Dakota,3882,,,,,,,,,,,,,,,,,,,,,,,,,
McCook County,South Dakota,5515,,,,,,,,,,,,,,,,,,,,,,,,,
McPherson County,South Dakota,2366,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County,South Dakota,4759,,,,,,,,,,,,,,,,,,,,,,,,,
Meade County,South Dakota,27066,318,,,,,,,,,,,,,,,,,,,,,,,,
Mellette County,South Dakota,2062,,,,,,,,,,,,,,,,,,,,,,,,,
Miner County,South Dakota,2255,,,,,,,,,,,,,,,,,,,,,,,,,
Minnehaha County,South Dakota,183660,3521,,,,,,,,,,,,,,,,,,,,,,,,
Moody County,South Dakota,6496,136,,,,,,,81.62,,,,,,,,,,,,,,,,,
Oglala Lakota County,South Dakota,14291,,,,,,,,,,,,,,,,,,,,,,,,,
Pennington County,South Dakota,108126,1218,,,,,,,,,,,,,,,,,,,,,,,,
Perkins County,South Dakota,2964,,,,,,,,,,,,,,,,,,,,,,,,,
Potter County,South Dakota,2318,,,,,,,,,,,,,,,,,,,,,,,,,
Roberts County,South Dakota,10250,,,,,,,,,,,,,,,,,,,,,,,,,
Sanborn County,South Dakota,2366,,,,,,,,,,,,,,,,,,,,,,,,,
Spink County,South Dakota,6478,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley County,South Dakota,2994,,,,,,,,,,,,,,,,,,,,,,,,,
Sully County,South Dakota,1390,,,,,,,,,,,,,,,,,,,,,,,,,
Todd County,South Dakota,10016,,,,,,,,,,,,,,,,,,,,,,,,,
Tripp County,South Dakota,5480,,,,,,,,,,,,,,,,,,,,,,,,,
Turner County,South Dakota,8242,,,,,,,,,,,,,,,,,,,,,,,,,
Union County,South Dakota,14929,154,,,,,,,,,,,,,,,,,,,,,,,,
Walworth County,South Dakota,5502,,,,,,,,,,,,,,,,,,,,,,,,,
Yankton County,South Dakota,22660,,,,,,,,,,,,,,,,,,,,,,,,,
Ziebach County,South Dakota,2837,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County,Tennessee,75538,1043,,,,,,,,,,,,,,,,,,,,,,,,
Bedford County,Tennessee,46854,,,,,,,,,,,,,,,,,,,,,,,,,
Benton County,Tennessee,16154,,,,,,,,,,,,,,,,,,,,,,,,,
Bledsoe County,Tennessee,14413,,,,,,,,,,,,,,,,,,,,,,,,,
Blount County,Tennessee,127135,868,,,,,,,,,,,,,,,,,,,,,,,,
Bradley County,Tennessee,103666,1180,,,,,,,,,,,,,,,,,,,,,,,,
Campbell County,Tennessee,39824,154,,,,,,,,,,,,,,,,,,,,,,,,
Cannon County,Tennessee,13839,,,,,,,,,,,,,,,,,,,,,,,,,
Carroll County,Tennessee,28137,92,,,,,,,,,,,,,,,,,,,,,,,,
Carter County,Tennessee,56500,,,,,,,,,,,,,,,,,,,,,,,,,
Cheatham County,Tennessee,39713,,,,,,,,,,,,,,,,,,,,,,,,,
Chester County,Tennessee,17097,,,,,,,,,,,,,,,,,,,,,,,,,
Claiborne County,Tennessee,31566,194,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,Tennessee,7684,,,,,,,,,,,,,,,,,,,,,,,,,
Cocke County,Tennessee,35262,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee County,Tennessee,54074,502,,,,,,,,,,,,,,,,,,,,,,,,
Crockett County,Tennessee,14554,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland County,Tennessee,58178,336,,,,,,,,,,,,,,,,,,,,,,,,
Davidson County,Tennessee,678322,23932,23.42,,,,,12.68,,,,,9.56,8.24,,,,,,,,,,,,13.55
Decatur County,Tennessee,11681,,,,,,,,,,,,,,,,,,,,,,,,,
DeKalb County,Tennessee,19380,,,,,,,,,,,,,,,,,,,,,,,,,
Dickson County,Tennessee,51341,,,,,,,,,,,,,,,,,,,,,,,,,
Dyer County,Tennessee,37751,269,,,,,,,,,,,,,,,,,,,,,,,,
Fayette County,Tennessee,39336,273,,,,,,,,,,,,,,,,,,,,,,,,
Fentress County,Tennessee,17940,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County,Tennessee,41397,,,,,,,,,,,,,,,,,,,,,,,,,
Gibson County,Tennessee,49222,177,,,,,,,,,,,,,,,,,,,,,,,,
Giles County,Tennessee,29024,169,,,,,,,,,,,,,,,,,,,,,,,,
Grainger County,Tennessee,22942,,,,,,,,,,,,,,,,,,,,,,,,,
Greene County,Tennessee,68520,,,,,,,,,,,,,,,,,,,,,,,,,
Grundy County,Tennessee,13359,,,,,,,,,,,,,,,,,,,,,,,,,
Hamblen County,Tennessee,63465,614,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton County,Tennessee,354589,7165,35.46,,,,,,,,,,,,,,,,,,,,,,,
Hancock County,Tennessee,6605,,,,,,,,,,,,,,,,,,,,,,,,,
Hardeman County,Tennessee,25784,187,,,,,,,,,,,,,,,,,,,,,,,,
Hardin County,Tennessee,25813,,,,,,,,,,,,,,,,,,,,,,,,,
Hawkins County,Tennessee,56402,280,,,,,,,,,,,,,,,,,,,,,,,,
Haywood County,Tennessee,17944,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson County,Tennessee,27889,,,,,,,,,,,,,,,,,,,,,,,,,
Henry County,Tennessee,32263,,,,,,,,,,,,,,,,,,,,,,,,,
Hickman County,Tennessee,24502,,,,,,,,,,,,,,,,,,,,,,,,,
Houston County,Tennessee,8188,,,,,,,,,,,,,,,,,,,,,,,,,
Humphreys County,Tennessee,18281,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,Tennessee,11573,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Tennessee,52887,343,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County,Tennessee,17846,,,,,,,,,,,,,,,,,,,,,,,,,
Knox County,Tennessee,452286,9710,26.7,,,,,23.82,,,,,,,,,,,,,,,,,,
Lake County,Tennessee,7588,,,,,,,,,,,,,,,,,,,,,,,,,
Lauderdale County,Tennessee,26497,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence County,Tennessee,42591,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis County,Tennessee,11944,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Tennessee,33543,,,,,,,,,,,,,,,,,,,,,,,,,
Loudon County,Tennessee,51024,,,,,,,,,,,,,,,,,,,,,,,,,
McMinn County,Tennessee,52569,,,,,,,,,,,,,,,,,,,,,,,,,
McNairy County,Tennessee,25945,,,,,,,,,,,,,,,,,,,,,,,,,
Macon County,Tennessee,23239,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,Tennessee,97887,1047,,,,,,,,,,,,,,,,,,,,,,,,
Marion County,Tennessee,28355,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall County,Tennessee,31753,,,,,,,,,,,,,,,,,,,,,,,,,
Maury County,Tennessee,87606,814,,,,,,,,,,,,,,,,,,,,,,,,
Meigs County,Tennessee,11830,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County,Tennessee,45698,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County,Tennessee,192120,4194,,,,,,,,,,,31.02,,,,,,,,,,,,,
Moore County,Tennessee,6302,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan County,Tennessee,21639,,,,,,,,,,,,,,,,,,,,,,,,,
Obion County,Tennessee,30659,102,,,,,,,,,,,,,,,,,,,,,,,,
Overton County,Tennessee,21995,,,,,,,,,,,,,,,,,,,,,,,,,
Perry County,Tennessee,7882,,,,,,,,,,,,,,,,,,,,,,,,,
Pickett County,Tennessee,5071,,,,,,,,,,,,,,,,,,,,,,,,,
Polk County,Tennessee,16722,,,,,,,,,,,,,,,,,,,,,,,,,
Putnam County,Tennessee,75565,1006,,,,,,,,,,,,,,,,,,,,,,,,
Rhea County,Tennessee,32478,,,,,,,,,,,,,,,,,,,,,,,,,
Roane County,Tennessee,52926,387,,,,,,,,,,,,,,,,,,,,,,,,
Robertson County,Tennessee,68575,353,,,,,,,,,,,,,,,,,,,,,,,,
Rutherford County,Tennessee,298456,9230,,,,,,,,,,,,36.47,,,,,,,,,,,,
Scott County,Tennessee,21949,,,,,,,,,,,,,,,,,,,,,,,,,
Sequatchie County,Tennessee,14654,,,,,,,,,,,,,,,,,,,,,,,,,
Sevier County,Tennessee,95523,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby County,Tennessee,937847,23545,26.15,,,,,20.57,12.36,,,,,,,,,,,,,,,,,15.58
Smith County,Tennessee,19279,,,,,,,,,,,,,,,,,,,,,,,,,
Stewart County,Tennessee,13248,,,,,,,,,,,,,,,,,,,,,,,,,
Sullivan County,Tennessee,156519,875,,,,,,,,,,,,,,,,,,,,,,,,
Sumner County,Tennessee,175730,2257,,,,,,,,,,,,,,,,,,,,,,,,
Tipton County,Tennessee,61434,,,,,,,,,,,,,,,,,,,,,,,,,
Trousdale County,Tennessee,8773,,,,,,,,,,,,,,,,,,,,,,,,,
Unicoi County,Tennessee,17830,,,,,,,,,,,,,,,,,,,,,,,,,
Union County,Tennessee,19176,,,,,,,,,,,,,,,,,,,,,,,,,
Van Buren County,Tennessee,5675,,,,,,,,,,,,,,,,,,,,,,,,,
Warren County,Tennessee,40210,231,,,,,,,,,,,,,,,,,,,,,,,,
Washington County,Tennessee,126437,2005,,,,,,,,,,,,,,,,,,,,,,,,
Wayne County,Tennessee,16713,,,,,,,,,,,,,,,,,,,,,,,,,
Weakley County,Tennessee,33776,,,,,,,,,,,,,,,,,,,,,,,,,
White County,Tennessee,26394,,,,,,,,,,,,,,,,,,,,,,,,,
Williamson County,Tennessee,212161,8507,44.62,,,,,,,,,,,,,,,,,,,,,,,
Wilson County,Tennessee,128874,1982,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County,Texas,57747,,,,,,,,,,,,,,,,,,,,,,,,,
Andrews County,Texas,17577,,,,,,,,,,,,,,,,,,,,,,,,,
Angelina County,Texas,87700,933,,,,,,,,,,,,,,,,,,,,,,,,
Aransas County,Texas,24832,500,,,,,,,,,,,,,,,,,,,,,,,,
Archer County,Texas,8793,,,,,,,,,,,,,,,,,,,,,,,,,
Armstrong County,Texas,1929,,,,,,,,,,,,,,,,,,,,,,,,,
Atascosa County,Texas,48139,,,,,,,,,,,,,,,,,,,,,,,,,
Austin County,Texas,29292,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey County,Texas,7098,,,,,,,,,,,,,,,,,,,,,,,,,
Bandera County,Texas,21316,,,,,,,,,,,,,,,,,,,,,,,,,
Bastrop County,Texas,80306,711,,,,,,,,,,,,,,,,,,,,,,,,
Baylor County,Texas,3602,,,,,,,,,,,,,,,,,,,,,,,,,
Bee County,Texas,32729,,,,,,,,,,,,,,,,,,,,,,,,,
Bell County,Texas,336506,9738,,,,,,,26.6,,,,29.55,,,,,,,,,,,,,
Bexar County,Texas,1892004,51411,26.86,,,,,12.58,22.29,,,4.15,6.78,,,,,,,,,,,,,11.47
Blanco County,Texas,11089,,,,,,,,,,,,,,,,,,,,,,,,,
Borden County,Texas,602,,,,,,,,,,,,,,,,,,,,,,,,,
Bosque County,Texas,17955,,,,,,,,,,,,,,,,,,,,,,,,,
Bowie County,Texas,93635,907,,,,,,,,,,,,,,,,,,,,,,,,
Brazoria County,Texas,345995,21616,20.81,,,,,,27.15,,,,,,,,,,,,,,,,,
Brazos County,Texas,214231,12927,23.11,,,,,30.64,,,,,13.92,,,,,,,,,,,,,
Brewster County,Texas,9220,,,,,,,,,,,,,,,,,,,,,,,,,
Briscoe County,Texas,1591,,,,,,,,,,,,,,,,,,,,,,,,,
Brooks County,Texas,7251,,,,,,,,,,,,,,,,,,,,,,,,,
Brown County,Texas,37787,250,,,,,,,,,,,,,,,,,,,,,,,,
Burleson County,Texas,17596,,,,,,,,,,,,,,,,,,,,,,,,,
Burnet County,Texas,45017,328,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell County,Texas,40544,412,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun County,Texas,21821,1103,,,,,,,,,,,,,,,,,,,,,,,,
Callahan County,Texas,13660,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron County,Texas,420201,2842,,,,,,,,,,,,,,,,,,,,,,,,
Camp County,Texas,12670,,,,,,,,,,,,,,,,,,,,,,,,,
Carson County,Texas,6033,,,,,,,,,,,,,,,,,,,,,,,,,
Cass County,Texas,30118,,,,,,,,,,,,,,,,,,,,,,,,,
Castro County,Texas,7891,,,,,,,,,,,,,,,,,,,,,,,,,
Chambers County,Texas,39283,506,,,,,,,,,,,,,,,,,,,,,,,,
Cherokee County,Texas,51594,317,,,,,,,,,,,,,,,,,,,,,,,,
Childress County,Texas,7064,,,,,,,,,,,,,,,,,,,,,,,,,
Clay County,Texas,10369,,,,,,,,,,,,,,,,,,,,,,,,,
Cochran County,Texas,2932,,,,,,,,,,,,,,,,,,,,,,,,,
Coke County,Texas,3238,,,,,,,,,,,,,,,,,,,,,,,,,
Coleman County,Texas,8422,,,,,,,,,,,,,,,,,,,,,,,,,
Collin County,Texas,914075,124046,43.94,,,,,19.61,6.01,,,1.51,5.88,,,,,,,,5.76,,1.34,,1.48,9.33
Collingsworth County,Texas,3026,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado County,Texas,20913,,,,,,,,,,,,,,,,,,,,,,,,,
Comal County,Texas,129100,1366,,,,,,,,,,,,,,,,,,,,,,,,
Comanche County,Texas,13492,,,,,,,,,,,,,,,,,,,,,,,,,
Concho County,Texas,3858,,,,,,,,,,,,,,,,,,,,,,,,,
Cooke County,Texas,39064,337,,,,,,,,,,,,,,,,,,,,,,,,
Coryell County,Texas,75818,1418,,,,,,,,,,,,,,,,,,,,,,,,
Cottle County,Texas,1498,,,,,,,,,,,,,,,,,,,,,,,,,
Crane County,Texas,4836,,,,,,,,,,,,,,,,,,,,,,,,,
Crockett County,Texas,3836,,,,,,,,,,,,,,,,,,,,,,,,,
Crosby County,Texas,5895,,,,,,,,,,,,,,,,,,,,,,,,,
Culberson County,Texas,2257,,,,,,,,,,,,,,,,,,,,,,,,,
Dallam County,Texas,7207,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas County,Texas,2552213,153214,35.7,,,,,10.2,6.73,,,1.56,6.03,,,,2.27,,,,3.66,,,,1.29,21.28
Dawson County,Texas,13095,112,,,,,,,,,,,,,,,,,,,,,,,92.86,
Deaf Smith County,Texas,18947,94,,,,,,,,,,,,,,,,,,,,,,,,
Delta County,Texas,5172,,,,,,,,,,,,,,,,,,,,,,,,,
Denton County,Texas,781321,61269,40.13,,,,,11.11,5.59,,,,13.46,,,,,,,,5.95,,,,,10.2
DeWitt County,Texas,20474,,,,,,,,,,,,,,,,,,,,,,,,,
Dickens County,Texas,2224,,,,,,,,,,,,,,,,,,,,,,,,,
Dimmit County,Texas,10822,,,,,,,,,,,,,,,,,,,,,,,,,
Donley County,Texas,3433,,,,,,,,,,,,,,,,,,,,,,,,,
Duval County,Texas,11434,,,,,,,,,,,,,,,,,,,,,,,,,
Eastland County,Texas,18278,,,,,,,,,,,,,,,,,,,,,,,,,
Ector County,Texas,155744,1681,,,,,,,,,,,,,,,,,,,,,,,,
Edwards County,Texas,2111,,,,,,,,,,,,,,,,,,,,,,,,,
Ellis County,Texas,164092,1116,,,,,,,,,,,,,,,,,,,,,,,,
El Paso County,Texas,834825,9584,,,,,,,25.38,,,,,,,,,,,,,,,,,
Erath County,Texas,41016,314,,,,,,,,,,,,,,,,,,,,,,,,
Falls County,Texas,17289,,,,,,,,,,,,,,,,,,,,,,,,,
Fannin County,Texas,33787,233,,,,,,,,,,,,,,,,,,,,,,,,
Fayette County,Texas,24963,,,,,,,,,,,,,,,,,,,,,,,,,
Fisher County,Texas,3875,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd County,Texas,5953,,,,,,,,,,,,,,,,,,,,,,,,,
Foard County,Texas,1414,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Bend County,Texas,711421,137608,38.37,,,,,20.5,8.91,,,,,,,,,,,,10.31,,,,,13.52
Franklin County,Texas,10639,,,,,,,,,,,,,,,,,,,,,,,,,
Freestone County,Texas,19646,,,,,,,,,,,,,,,,,,,,,,,,,
Frio County,Texas,19110,,,,,,,,,,,,,,,,,,,,,,,,,
Gaines County,Texas,19889,91,,,,,,,,,,,,,,,,,,,,,,,,
Galveston County,Texas,321184,10897,28.79,,,,,,16.74,,,,,,,,,,,,,,,,,21.37
Garza County,Texas,6739,,,,,,,,,,,,,,,,,,,,,,,,,
Gillespie County,Texas,25939,,,,,,,,,,,,,,,,,,,,,,,,,
Glasscock County,Texas,1420,,,,,,,,,,,,,,,,,,,,,,,,,
Goliad County,Texas,7510,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzales County,Texas,20558,,,,,,,,,,,,,,,,,,,,,,,,,
Gray County,Texas,22962,162,,,,,,,,,,,,,,,,,,,,,,,,
Grayson County,Texas,126146,1677,,,,,,,,,,,,,,,,,,,,,,,,
Gregg County,Texas,123402,1695,,,,,,,,,,,,,,,,,,,,,,,,
Grimes County,Texas,27358,,,,,,,,,,,,,,,,,,,,,,,,,
Guadalupe County,Texas,150889,2611,,,,,,,,,,,,,,,,,,,,,,,,
Hale County,Texas,34527,,,,,,,,,,,,,,,,,,,,,,,,,
Hall County,Texas,3102,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton County,Texas,8220,,,,,,,,,,,,,,,,,,,,,,,,,
Hansford County,Texas,5532,,,,,,,,,,,,,,,,,,,,,,,,,
Hardeman County,Texas,3990,,,,,,,,,,,,,,,,,,,,,,,,,
Hardin County,Texas,55993,,,,,,,,,,,,,,,,,,,,,,,,,
Harris County,Texas,4525519,309400,21.17,,,,1.35,16.44,9.3,,,1.37,3.53,,,,,,,,7.44,,1.09,,1.71,30.9
Harrison County,Texas,66606,468,,,,,,,,,,,,,,,,,,,,,,,,
Hartley County,Texas,5821,,,,,,,,,,,,,,,,,,,,,,,,,
Haskell County,Texas,5806,,,,,,,,,,,,,,,,,,,,,,,,,
Hays County,Texas,194843,2664,,,,,,,,,,,,,,,,,,,,,,,,
Hemphill County,Texas,4152,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson County,Texas,79687,528,,,,,,,,,,,,,,,,,,,,,,,,
Hidalgo County,Texas,839539,8295,,,,,,,42.91,,,,,,,,,,,,,,,,,
Hill County,Texas,35098,,,,,,,,,,,,,,,,,,,,,,,,,
Hockley County,Texas,23273,,,,,,,,,,,,,,,,,,,,,,,,,
Hood County,Texas,55418,469,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins County,Texas,35929,254,,,,,,,,,,,,,,,,,,,,,,,,
Houston County,Texas,22849,,,,,,,,,,,,,,,,,,,,,,,,,
Howard County,Texas,36491,288,,,,,,,,,,,,,,,,,,,,,,,,
Hudspeth County,Texas,3702,,,,,,,,,,,,,,,,,,,,,,,,,
Hunt County,Texas,90322,1100,,,,,,,,,,,,,,,,,,,,,,,,
Hutchinson County,Texas,21704,131,,,,,,,,,,,,,,,,,,,,,,,,
Irion County,Texas,1592,,,,,,,,,,,,,,,,,,,,,,,,,
Jack County,Texas,8839,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,Texas,14756,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper County,Texas,35444,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Davis County,Texas,2236,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Texas,254574,9271,,,,,,,,,,,,,,,,,,,,,,,,50.62
Jim Hogg County,Texas,5262,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Wells County,Texas,41318,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County,Texas,160173,1253,,,,,,,,,,,,,,,,,,,,,,,,
Jones County,Texas,19969,,,,,,,,,,,,,,,,,,,,,,,,,
Karnes County,Texas,15051,,,,,,,,,,,,,,,,,,,,,,,,,
Kaufman County,Texas,114852,1239,,,,,,,,,,,,,,,,,,,,,,,,
Kendall County,Texas,40306,,,,,,,,,,,,,,,,,,,,,,,,,
Kenedy County,Texas,564,,,,,,,,,,,,,,,,,,,,,,,,,
Kent County,Texas,680,,,,,,,,,,,,,,,,,,,,,,,,,
Kerr County,Texas,50761,512,,,,,,,,,,,,,,,,,,,,,,,,
Kimble County,Texas,4432,,,,,,,,,,,,,,,,,,,,,,,,,
King County,Texas,289,,,,,,,,,,,,,,,,,,,,,,,,,
Kinney County,Texas,3631,,,,,,,,,,,,,,,,,,,,,,,,,
Kleberg County,Texas,31540,632,,,,,,,,,,,,,,,,,,,,,,,,
Knox County,Texas,3753,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar County,Texas,49401,437,,,,,,,,,,,,,,,,,,,,,,,,
Lamb County,Texas,13368,,,,,,,,,,,,,,,,,,,,,,,,,
Lampasas County,Texas,20473,,,,,,,,,,,,,,,,,,,,,,,,,
La Salle County,Texas,7418,,,,,,,,,,,,,,,,,,,,,,,,,
Lavaca County,Texas,19859,,,,,,,,,,,,,,,,,,,,,,,,,
Lee County,Texas,16850,,,,,,,,,,,,,,,,,,,,,,,,,
Leon County,Texas,16966,126,,,,,,,,,,,,,,,,,,,,,,,,
Liberty County,Texas,79884,454,,,,,,,,,,,,,,,,,,,,,,,,
Limestone County,Texas,23480,156,,,,,,,,,,,,,,,,,,,,,,,,
Lipscomb County,Texas,3495,,,,,,,,,,,,,,,,,,,,,,,,,
Live Oak County,Texas,12043,,,,,,,,,,,,,,,,,,,,,,,,,
Llano County,Texas,20195,,,,,,,,,,,,,,,,,,,,,,,,,
Loving County,Texas,74,,,,,,,,,,,,,,,,,,,,,,,,,
Lubbock County,Texas,298042,6373,,,,,,,,,,,,,,,,,,,,,,,,
Lynn County,Texas,5785,,,,,,,,,,,,,,,,,,,,,,,,,
McCulloch County,Texas,8145,,,,,,,,,,,,,,,,,,,,,,,,,
McLennan County,Texas,245720,3828,,,,,,,,,,,,,,,,,,,,,,,,
McMullen County,Texas,600,,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,Texas,13979,,,,,,,,,,,,,,,,,,,,,,,,,
Marion County,Texas,10140,,,,,,,,,,,,,,,,,,,,,,,,,
Martin County,Texas,5547,,,,,,,,,,,,,,,,,,,,,,,,,
Mason County,Texas,4122,,,,,,,,,,,,,,,,,,,,,,,,,
Matagorda County,Texas,36744,731,,,,,,,,,,,,,,,,,,,,,,,,86.32
Maverick County,Texas,57471,,,,,,,,,,,,,,,,,,,,,,,,,
Medina County,Texas,48548,,,,,,,,,,,,,,,,,,,,,,,,,
Menard County,Texas,2123,,,,,,,,,,,,,,,,,,,,,,,,,
Midland County,Texas,159883,3102,,,,,,,,,,,,,,,,,,,,,,,,
Milam County,Texas,24479,,,,,,,,,,,,,,,,,,,,,,,,,
Mills County,Texas,4887,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell County,Texas,8774,,,,,,,,,,,,,,,,,,,,,,,,,
Montague County,Texas,19406,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery County,Texas,535187,14951,27.18,,,,,,,,,,,,,,,,,,,,,,,
Moore County,Texas,22016,1735,,,,,,,,,,,,,,,,,,,,,,,,
Morris County,Texas,12530,,,,,,,,,,,,,,,,,,,,,,,,,
Motley County,Texas,1114,,,,,,,,,,,,,,,,,,,,,,,,,
Nacogdoches County,Texas,65411,1174,,,,,,,,,,,,,,,,,,,,,,,,
Navarro County,Texas,48239,302,,,,,,,,,,,,,,,,,,,,,,,,
Newton County,Texas,14187,,,,,,,,,,,,,,,,,,,,,,,,,
Nolan County,Texas,14990,,,,,,,,,,,,,,,,,,,,,,,,,
Nueces County,Texas,358484,7044,,,,,,,38.98,,,,,,,,,,,,,,,,,
Ochiltree County,Texas,10484,,,,,,,,,,,,,,,,,,,,,,,,,
Oldham County,Texas,2083,,,,,,,,,,,,,,,,,,,,,,,,,
Orange County,Texas,83909,977,,,,,,,,,,,,,,,,,,,,,,,,
Palo Pinto County,Texas,28109,,,,,,,,,,,,,,,,,,,,,,,,,
Panola County,Texas,23574,,,,,,,,,,,,,,,,,,,,,,,,,
Parker County,Texas,125963,628,,,,,,,,,,,,,,,,,,,,,,,,
Parmer County,Texas,9871,,,,,,,,,,,,,,,,,,,,,,,,,
Pecos County,Texas,15804,,,,,,,,,,,,,,,,,,,,,,,,,
Polk County,Texas,46974,,,,,,,,,,,,,,,,,,,,,,,,,
Potter County,Texas,121230,6374,,,,,,,,,,,,,,,,,,,,,,,,
Presidio County,Texas,7191,358,,,,,,,,,,,,,,,,,,,,,,,,
Rains County,Texas,11246,,,,,,,,,,,,,,,,,,,,,,,,,
Randall County,Texas,130552,1961,,,,,,,,,,,,,,,,,,,,,,,,
Reagan County,Texas,3735,,,,,,,,,,,,,,,,,,,,,,,,,
Real County,Texas,3358,,,,,,,,,,,,,,,,,,,,,,,,,
Red River County,Texas,12353,,,,,,,,,,,,,,,,,,,,,,,,,
Reeves County,Texas,14791,168,,,,,,,,,,,,,,,,,,,,,,,,
Refugio County,Texas,7293,,,,,,,,,,,,,,,,,,,,,,,,,
Roberts County,Texas,889,,,,,,,,,,,,,,,,,,,,,,,,,
Robertson County,Texas,16727,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwall County,Texas,90414,2195,,,,,,,,,,,,,,,,,,,,,,,,
Runnels County,Texas,10266,,,,,,,,,,,,,,,,,,,,,,,,,
Rusk County,Texas,53026,243,,,,,,,,,,,,,,,,,,,,,,,,
Sabine County,Texas,10429,,,,,,,,,,,,,,,,,,,,,,,,,
San Augustine County,Texas,8403,,,,,,,,,,,,,,,,,,,,,,,,,
San Jacinto County,Texas,27436,,,,,,,,,,,,,,,,,,,,,,,,,
San Patricio County,Texas,66867,679,,,,,,,,,,,,,,,,,,,,,,,,
San Saba County,Texas,5851,,,,,,,,,,,,,,,,,,,,,,,,,
Schleicher County,Texas,3122,,,,,,,,,,,,,,,,,,,,,,,,,
Scurry County,Texas,17346,,,,,,,,,,,,,,,,,,,,,,,,,
Shackelford County,Texas,3348,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby County,Texas,25689,,,,,,,,,,,,,,,,,,,,,,,,,
Sherman County,Texas,3067,,,,,,,,,,,,,,,,,,,,,,,,,
Smith County,Texas,222277,3516,,,,,,,,,,,,,,,,,,,,,,,,
Somervell County,Texas,8650,,,,,,,,,,,,,,,,,,,,,,,,,
Starr County,Texas,63420,,,,,,,,,,,,,,,,,,,,,,,,,
Stephens County,Texas,9365,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling County,Texas,1139,,,,,,,,,,,,,,,,,,,,,,,,,
Stonewall County,Texas,1084,,,,,,,,,,,,,,,,,,,,,,,,,
Sutton County,Texas,3894,,,,,,,,,,,,,,,,,,,,,,,,,
Swisher County,Texas,7541,,,,,,,,,,,,,,,,,,,,,,,,,
Tarrant County,Texas,1983675,101591,17.81,,,,,8.44,9.38,,,,3.96,5.41,,,4.87,,,,5.4,,,,,34.02
Taylor County,Texas,135371,2664,,,,,,,,,,,,,,,,,,,,,,,,
Terrell County,Texas,721,,,,,,,,,,,,,,,,,,,,,,,,,
Terry County,Texas,12755,,,,,,,,,,,,,,,,,,,,,,,,,
Throckmorton County,Texas,1541,,,,,,,,,,,,,,,,,,,,,,,,,
Titus County,Texas,32664,,,,,,,,,,,,,,,,,,,,,,,,,
