County,State,Total Population,Total Asian Alone,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
Drew County,Arkansas,18620,,,,,,,,,,,,,,,,,,,,,,,,,
Faulkner County,Arkansas,121282,1556,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County,Arkansas,17803,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton County,Arkansas,12092,,,,,,,,,,,,,,,,,,,,,,,,,
Garland County,Arkansas,97994,,,,,,,,,,,,,,,,,,,,,,,,,
Grant County,Arkansas,18076,,,,,,,,,,,,,,,,,,,,,,,,,
Greene County,Arkansas,44197,,,,,,,,,,,,,,,,,,,,,,,,,
Hempstead County,Arkansas,22154,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Spring County,Arkansas,33480,,,,,,,,,,,,,,,,,,,,,,,,,
Howard County,Arkansas,13472,,,,,,,,,,,,,,,,,,,,,,,,,
Independence County,Arkansas,37097,,,,,,,,,,,,,,,,,,,,,,,,,
Izard County,Arkansas,13521,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson County,Arkansas,17429,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson County,Arkansas,71373,539,,,,,,,,,,,,,,,,,,,,,,,,
Johnson County,Arkansas,26155,428,,,,,,,,,,,,,,,,,,,,,,,,
Lafayette County,Arkansas,7051,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence County,Arkansas,16777,,,,,,,,,,,,,,,,,,,,,,,,,
Lee County,Arkansas,9614,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln County,Arkansas,13885,,,,,,,,,,,,,,,,,,,,,,,,,
Little River County,Arkansas,12494,,,,,,,,,,,,,,,,,,,,,,,,,
Logan County,Arkansas,21802,,,,,,,,,,,,,,,,,,,,,,,,,
Lonoke County,Arkansas,71568,504,,,,,,,,,,,,,,,,,,,,,,,,
Madison County,Arkansas,15907,,,,,,,,,,,,,,,,,,,,,,,,,
Marion County,Arkansas,16374,,,,,,,,,,,,,,,,,,,,,,,,,
Miller County,Arkansas,43760,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi County,Arkansas,43534,238,,,,,,,,,,,,,,,,,,,,,,,,
Monroe County,Arkansas,7420,,,,,,,,,,,,,,,,,,,,,,,,,
