Geography,Total Population,Asian Alone,Asian Alone Share,NHPI Alone,NHPI Alone Share,Asian Alone or Combo,Asian Alone or Combo Share,NHPI Alone or Combo,NHPI Alone or Combo Share
"Pittsfield, MA Metro Area",127751,2096,1.64,42,0.03,2676,2.09,156,0.12
"Pocatello, ID Metro Area",84113,1145,1.36,192,0.23,1801,2.14,397,0.47
"Portland-South Portland, ME Metro Area",525776,8777,1.67,48,0.01,12289,2.34,448,0.09
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2382037,151011,6.34,11722,0.49,197577,8.29,23772,1
"Port St. Lucie, FL Metro Area",454482,7662,1.69,495,0.11,10149,2.23,673,0.15
"Prescott, AZ Metro Area",220972,2122,0.96,67,0.03,3292,1.49,244,0.11
"Providence-Warwick, RI-MA Metro Area",1613154,47797,2.96,1055,0.07,57714,3.58,3309,0.21
"Provo-Orem, UT Metro Area",587190,8628,1.47,4486,0.76,15347,2.61,9547,1.63
"Pueblo, CO Metro Area",163368,1443,0.88,141,0.09,2667,1.63,345,0.21
"Punta Gorda, FL Metro Area",173236,2044,1.18,61,0.04,3296,1.9,172,0.1
"Racine, WI Metro Area",195101,2370,1.21,55,0.03,3142,1.61,179,0.09
"Raleigh, NC Metro Area",1273985,67721,5.32,524,0.04,78200,6.14,1580,0.12
"Rapid City, SD Metro Area",143711,1571,1.09,91,0.06,2586,1.8,258,0.18
"Reading, PA Metro Area",415500,5848,1.41,118,0.03,7402,1.78,518,0.12
"Redding, CA Metro Area",178919,5310,2.97,153,0.09,7144,3.99,845,0.47
"Reno, NV Metro Area",449442,23979,5.34,2689,0.6,32336,7.19,5594,1.24
"Richmond, VA Metro Area",1270158,47052,3.7,563,0.04,58229,4.58,2112,0.17
"Riverside-San Bernardino-Ontario, CA Metro Area",4476222,294863,6.59,13523,0.3,363995,8.13,30149,0.67
"Roanoke, VA Metro Area",313069,6641,2.12,171,0.05,8310,2.65,432,0.14
"Rochester, MN Metro Area",214485,9149,4.27,25,0.01,11154,5.2,79,0.04
"Rochester, NY Metro Area",1080653,31002,2.87,413,0.04,37578,3.48,1436,0.13
"Rockford, IL Metro Area",341150,7943,2.33,82,0.02,10039,2.94,464,0.14
"Rocky Mount, NC Metro Area",148157,944,0.64,49,0.03,1287,0.87,127,0.09
"Rome, GA Metro Area",96471,1484,1.54,0,0,1743,1.81,52,0.05
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2268005,292442,12.89,18137,0.8,355175,15.66,32888,1.45
"Saginaw, MI Metro Area",193803,2357,1.22,12,0.01,2957,1.53,100,0.05
"St. Cloud, MN Metro Area",194660,3764,1.93,33,0.02,4877,2.51,319,0.16
