District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Vietnamese
District 2,Wisconsin,747025,7257,,,,,9914,2346,6242,,1676,3299,,,,,,,,,,,,
District 20,California,734923,4436,,,,,8747,20514,,,8109,4469,,,,,,,,,,,966,3357
District 20,Florida,765067,7808,,,,,6083,,,,,,,,,,,,,,,,,3158
District 20,New York,727071,12996,,,,,12011,3700,,,1184,3661,,,,,,1882,,3429,,,,
District 20,Texas,776926,7713,,,,,3530,9204,,,2385,1301,,,,,,,,,,,,
District 21,California,712221,6136,,,,,1614,13487,,,2057,,,,,,,,,,,,,
District 21,Florida,754832,7318,,,,,5180,3157,,,,,,,,,,,,,,,,
District 21,New York,712223,,,,,,2037,1973,,,847,1543,,,,,,,,,,,,
District 21,Texas,777686,9311,,,,,6742,4867,,,1828,4069,,,,,,,,,,,,2371
District 22,California,748078,12555,,,,1867,7192,14645,12717,,6732,2759,5712,,,,,,,,,,,4173
District 22,Florida,742818,9891,,,,,6907,3049,,,,,,,,,,,,,,,,
District 22,New York,704369,3995,,,3204,,4501,1656,,,,1613,,,,,,,,,,,,2255
District 22,Texas,844913,54969,,,,,31632,19244,,,,4092,,,,,,,,14649,,,,28038
District 23,California,738134,10195,,,,,5329,17631,,,2800,2731,,,,,,,,,,,,2839
District 23,Florida,751320,14226,,,,,8421,5240,,,,,,,,,,,,,,,,
District 23,New York,706305,3952,,,,,8177,1478,,,1060,2720,,,,,,,,,,,,
District 23,Texas,752067,3335,,,,,,3653,,,,,,,,,,,,,,,,
District 24,California,732284,3392,,,,,10601,15625,,,6741,4126,,,,,,,,,,,,3042
District 24,Florida,741759,2896,,,,,2711,3138,,,,,,,,,,,,,,,,
District 24,New York,712307,4329,,,,,6288,1714,,,,1799,,,,,,,,,,,,2823
District 24,Texas,774968,50244,,,,,9986,5916,,,3017,11049,,,,4689,,3122,,6558,,,,10745
District 25,California,72e4,10623,,,,,8371,28923,,,5384,11366,,,,,,1907,,,,,,3231
District 25,Florida,756894,3071,,,,,,,,,,,,,,,,,,,,,,
District 25,New York,721651,7512,,,,,8218,2380,,,1162,2523,,,,,,,,,,,,3078
District 25,Texas,755821,6782,,,,,6315,4365,,,,3946,,,,,,,,,,,,
District 26,California,725161,9486,,,,,11802,22440,,,8254,3762,,,,,,,,,,,,3879
District 26,Florida,772867,4675,,,,,5702,2963,,,,,,,,,,,,,,,,
District 26,New York,715764,8527,,,,,6746,1566,,,,2684,,,,,,,,,,,,1530
District 26,Texas,823749,20694,,,,,7354,6456,,,,5859,,,,,,2288,,2379,,,,6500
District 27,California,719377,8958,,,2574,3429,183957,20917,,3994,18154,14574,,,,,,,,,,7788,3036,31007
District 27,Florida,750149,3961,,,,,6734,,,,,,,,,,,,,,,,,
District 27,New York,718095,2295,,,,,2869,,,,,1365,,,,,,,,,,,,
District 27,Texas,732212,,,,,,2058,4098,,,,,,,,,,,,,,,,3346
District 28,California,717921,8523,,,,,16273,41044,,,9492,24218,,,,,,3649,,,,,4211,3506
District 28,Texas,742188,,,,,,,3592,,,,,,,,,,,,,,,,
District 29,California,721965,4062,,,,,4440,35046,,,3566,4947,,,,,,,,,,,3981,2713
District 29,Texas,740295,,,,,,,,,,,,,,,,,,,,,,,5825
District 3,Alabama,703772,2299,,,,,2536,,,,,4571,,,,,,,,,,,,
District 3,Arizona,751029,2123,,,,,3221,6027,,,1263,,,,,,,,,,,,,1977
District 3,Arkansas,782339,6616,,,,,2721,3316,,,,,4232,,,,,,,,,,,3841
District 3,California,730723,19745,,,,,16953,32877,3763,,7459,4884,,,,,,2155,,,,,1597,6133
District 3,Colorado,731888,,,,,,1840,2057,,,1716,,,,,,,,,,,,,
District 3,Connecticut,717162,10731,,,,,9448,3816,,,,2997,,,,,,,,,,,,
District 3,Florida,720286,6447,,,,,6274,7789,,,,,,,,,,,,,,,,3157
District 3,Georgia,721355,4626,,,,,2148,2264,,,1529,3413,,,,,,,,,,,,
District 3,Illinois,724628,4701,,,,,16899,6137,,,,,,,,,,,,,,,,
District 3,Indiana,736567,3425,,,3436,,1636,1552,,,,,,,,,,,,,,,,
District 3,Iowa,811951,5957,,,3376,,2933,2609,,,,2309,,,,,,,,,,,,5373
District 3,Kansas,754183,12033,,,,,6014,3594,,,1766,3066,2169,,,,,,,,,,,2862
District 3,Kentucky,742664,6196,,,,,2636,2258,,,1152,2086,,,,,,,,,,,,3380
District 3,Louisiana,780962,,,,,,,1281,,,,,1719,,,,,,,,,,,4593
District 3,Maryland,752897,14105,,,,,11844,9948,,,2767,10387,,,,,,,,3426,,,,5467
District 3,Massachusetts,760993,15967,,,,17719,14187,,,,1752,2767,,,,,,,,,,,,5160
District 3,Michigan,731521,3009,,,2003,,3256,1878,,,,2048,,,,,,,,,,,,
District 3,Minnesota,703785,16547,,,,,8143,3452,8301,,1825,4013,2973,,,,,,,,,,,8905
District 3,Mississippi,748858,3185,,,,,,,,,,,,,,,,,,,,,,
District 3,Missouri,775379,2165,,,,,,2054,,,,1282,,,,,,,,,,,,
District 3,Nebraska,605462,,,,,,,,,,905,,,,,,,,,,,,,
District 3,Nevada,762236,7263,,,,,24050,64195,,,10010,10192,,,,,,2395,,,,,3782,7112
District 3,New Jersey,737263,12064,,,,,4667,7503,,,,3812,,,,,,,,,,,,
District 3,New Mexico,696138,1657,,,,,2218,3411,,,1877,1224,,,,,,,,,,,,
District 3,New York,731138,41247,,,,,37841,5784,,,2493,20525,,,,,,3619,,4534,,,,
District 3,North Carolina,754005,,,,1778,,,5381,,,2311,,,,,,,,,,,,,
District 3,Ohio,770797,8010,,,,,6759,2871,,,,1931,,,,,,,,,,,,2267
District 3,Oklahoma,773867,2715,,,,,2731,1450,,,1336,,,,,,,,,,,,,2637
District 3,Oregon,820929,3586,,,,,17272,9351,,,8868,4479,4009,,,,,1576,,,,,,18777
District 3,Pennsylvania,695002,1925,,,,,1782,1314,,,,955,,,,,,,,,,,,
District 3,South Carolina,677940,,,,,,2170,1365,,,,,,,,,,,,,,,,
District 3,Tennessee,723001,3317,,,,,1841,,,,,,,,,,,,,,,,,
District 3,Texas,816143,55009,,,,,26683,9050,,,3357,8710,,,,,,2950,,7237,,1758,,11869
District 3,Utah,740511,2629,,,,,6318,3019,,,4261,2612,,,,,,,,,,,,
District 3,Virginia,738417,2156,,,,1261,2780,10170,,,,3279,,,,,,,,,,,,3479
District 3,Washington,708507,3262,,,,,6154,7019,,,5001,4421,1005,,,,,,,,,,,4546
District 3,West Virginia,597674,,,,,,,1013,,,,,,,,,,,,,,,,
District 3,Wisconsin,718086,,,,,,2255,1864,9297,,,,,,,,,,,,,,,
District 30,California,758784,16357,,,,,15456,35074,,,8460,15100,,,,,,5189,,,,,3115,9424
District 30,Texas,760204,,,,,,2702,2997,,,,,,,,,,,,,,,,5301
District 31,California,740071,7148,,,,2429,14553,20915,,4196,3929,5289,,,,,,,,,,,,5553
District 31,Texas,806513,15754,,,,,7323,6895,,,2470,7405,,,,,,,,,,,,5243
District 32,California,721884,3016,,,,1937,64390,37364,,,4807,3608,,,,,,1736,,,,2415,2210,20208
District 32,Texas,752654,14168,,,,,10402,6510,,,,3456,,,,,,,,,,,,22244
District 33,California,715197,14613,,,,,34327,16629,,,22600,25358,,,,,,3322,,,,3469,,5552
District 33,Texas,727777,2881,,,,,,,,,,,,,,,,,,,,,,6483
District 34,California,728048,3789,,,,,28585,36922,,,7002,61034,,,,,,1725,,,,,2391,5260
District 34,Texas,720989,,,,,,,,,,,,,,,,,,,,,,,
District 35,California,735165,3787,,,,,14905,20098,,,2972,3960,,,,,,,,,,,,7195
District 35,Texas,795361,,,,,,2859,3612,,,,2451,,,,,,,,,,,,
District 36,California,740835,,,,,,4240,14463,,,2726,,,,,,,,,,,,,
District 36,Texas,726915,4972,,,,,2305,,,,,,,,,,,,,,,,,2797
