County,State,Asian Alone Total,Asian Alone LEP,LEP Share Asian Alone,NHPI Alone Total,NHPI Alone LEP,LEP Share NHPI Alone
Hyde County,South Dakota,0,,,0,,
Iberia Parish,Louisiana,1812,,,0,,
Iberville Parish,Louisiana,20,,,0,,
Ida County,Iowa,31,,,0,,
Idaho County,Idaho,45,,,15,,
Imperial County,California,2441,1029,51.6,261,,
Independence County,Arkansas,257,,,6,,
Indian River County,Florida,1739,,,0,,
Indiana County,Pennsylvania,941,,,11,,
Ingham County,Michigan,16422,6862,52,120,,
Inyo County,California,270,,,34,,
Ionia County,Michigan,248,,,0,,
Iosco County,Michigan,143,,,11,,
Iowa County,Iowa,30,,,8,,
Iowa County,Wisconsin,147,,,17,,
Iredell County,North Carolina,3652,,,25,,
Irion County,Texas,0,,,0,,
Iron County,Michigan,52,,,0,,
Iron County,Missouri,4,,,4,,
Iron County,Utah,314,,,23,,
Iron County,Wisconsin,9,,,0,,
Iroquois County,Illinois,116,,,0,,
Irwin County,Georgia,45,,,0,,
Isabela Municipio,Puerto Rico,0,,,0,,
Isabella County,Michigan,1172,,,0,,
Isanti County,Minnesota,371,,,9,,
Island County,Washington,3514,1038,47.48,250,,
Isle of Wight County,Virginia,288,,,19,,
Issaquena County,Mississippi,0,,,0,,
Itasca County,Minnesota,177,,,5,,
Itawamba County,Mississippi,39,,,7,,
Izard County,Arkansas,23,,,0,,
Jack County,Texas,11,,,0,,
Jackson County,Alabama,229,,,67,,
Jackson County,Arkansas,8,,,0,,
Jackson County,Colorado,0,,,0,,
Jackson County,Florida,239,,,52,,
Jackson County,Georgia,1036,,,17,,
Jackson County,Illinois,1958,,,8,,
Jackson County,Indiana,756,,,0,,
Jackson County,Iowa,89,,,103,,
Jackson County,Kansas,29,,,34,,
Jackson County,Kentucky,0,,,0,,
Jackson County,Michigan,1150,,,40,,
Jackson County,Minnesota,188,,,2,,
Jackson County,Mississippi,3070,,,55,,
Jackson County,Missouri,12077,4512,51.61,1629,,
Jackson County,North Carolina,354,,,0,,
Jackson County,Ohio,35,,,23,,
Jackson County,Oklahoma,348,,,0,,
Jackson County,Oregon,2454,,,612,,
Jackson County,South Dakota,14,,,0,,
Jackson County,Tennessee,5,,,0,,
Jackson County,Texas,44,,,14,,
Jackson County,West Virginia,90,,,0,,
Jackson County,Wisconsin,75,,,0,,
Jackson Parish,Louisiana,63,,,0,,
James City County,Virginia,1829,,,8,,
Jasper County,Georgia,41,,,0,,
Jasper County,Illinois,1,,,0,,
Jasper County,Indiana,119,,,0,,
Jasper County,Iowa,155,,,51,,
Jasper County,Mississippi,0,,,0,,
Jasper County,Missouri,1186,,,161,,
Jasper County,South Carolina,204,,,0,,
Jasper County,Texas,173,,,33,,
Jay County,Indiana,111,,,1,,
Jayuya Municipio,Puerto Rico,4,,,0,,
Jeff Davis County,Georgia,0,,,0,,
Jeff Davis County,Texas,33,,,0,,
Jefferson County,Alabama,9474,2985,40.65,174,,
Jefferson County,Arkansas,539,,,0,,
Jefferson County,Colorado,14654,4092,41.87,338,,
Jefferson County,Florida,21,,,0,,
Jefferson County,Georgia,16,,,0,,
Jefferson County,Idaho,70,,,62,,
Jefferson County,Illinois,410,,,0,,
Jefferson County,Indiana,263,,,0,,
Jefferson County,Iowa,930,,,0,,
Jefferson County,Kansas,0,,,0,,
Jefferson County,Kentucky,18874,6481,45.73,333,,
Jefferson County,Mississippi,32,,,0,,
Jefferson County,Missouri,1596,,,22,,
Jefferson County,Montana,12,,,0,,
Jefferson County,Nebraska,10,,,0,,
Jefferson County,New York,1600,,,267,,
Jefferson County,Ohio,258,,,5,,
Jefferson County,Oklahoma,7,,,0,,
Jefferson County,Oregon,145,,,84,,
Jefferson County,Pennsylvania,107,,,14,,
Jefferson County,Tennessee,322,,,12,,
Jefferson County,Texas,8662,3478,47.11,105,,
Jefferson County,Washington,516,,,102,,
Jefferson County,West Virginia,782,,,0,,
Jefferson County,Wisconsin,513,,,35,,
Jefferson Davis County,Mississippi,0,,,0,,
Jefferson Davis Parish,Louisiana,139,,,0,,
Jefferson Parish,Louisiana,17413,7602,52.45,89,,
Jenkins County,Georgia,76,,,0,,
Jennings County,Indiana,123,,,0,,
Jerauld County,South Dakota,0,,,0,,
Jerome County,Idaho,101,,,57,,
Jersey County,Illinois,68,,,22,,
Jessamine County,Kentucky,704,,,4,,
Jewell County,Kansas,1,,,2,,
Jim Hogg County,Texas,0,,,0,,
Jim Wells County,Texas,200,,,48,,
Jo Daviess County,Illinois,102,,,16,,
Johnson County,Arkansas,379,,,27,,
Johnson County,Georgia,15,,,0,,
Johnson County,Illinois,19,,,0,,
Johnson County,Indiana,3934,1332,39.71,16,,
Johnson County,Iowa,8461,3242,49.32,154,,
Johnson County,Kansas,25823,6578,32.9,251,,
Johnson County,Kentucky,230,,,0,,
Johnson County,Missouri,794,,,170,,
Johnson County,Nebraska,45,,,0,,
Johnson County,Tennessee,63,,,0,,
Johnson County,Texas,1195,,,584,,
Johnson County,Wyoming,0,,,0,,
Johnston County,North Carolina,1132,,,15,,
Johnston County,Oklahoma,20,,,16,,
Jones County,Georgia,185,,,0,,
Jones County,Iowa,16,,,0,,
Jones County,Mississippi,365,,,48,,
Jones County,North Carolina,18,,,0,,
Jones County,South Dakota,0,,,0,,
Jones County,Texas,67,,,0,,
Josephine County,Oregon,547,,,5,,
Juab County,Utah,13,,,11,,
Juana Díaz Municipio,Puerto Rico,107,,,0,,
Judith Basin County,Montana,0,,,0,,
Juncos Municipio,Puerto Rico,83,,,0,,
Juneau City and Borough,Alaska,2281,,,296,,
Juneau County,Wisconsin,129,,,0,,
Juniata County,Pennsylvania,59,,,0,,
Kalamazoo County,Michigan,6060,1540,36.63,81,,
Kalawao County,Hawaii,26,,,29,,
Kalkaska County,Michigan,73,,,0,,
Kanabec County,Minnesota,62,,,2,,
Kanawha County,West Virginia,1899,,,0,,
Kandiyohi County,Minnesota,318,,,0,,
Kane County,Illinois,19673,5169,36.72,125,,
Kane County,Utah,31,,,11,,
Kankakee County,Illinois,1039,,,42,,
Karnes County,Texas,16,,,0,,
Kauai County,Hawaii,23569,5094,50.4,6180,,
Kaufman County,Texas,1130,,,81,,
Kay County,Oklahoma,246,,,0,,
Kearney County,Nebraska,16,,,0,,
Kearny County,Kansas,17,,,0,,
Keith County,Nebraska,89,,,23,,
Kemper County,Mississippi,0,,,0,,
Kenai Peninsula Borough,Alaska,829,,,155,,
Kendall County,Illinois,3670,,,0,,
Kendall County,Texas,289,,,33,,
Kenedy County,Texas,1,,,0,,
Kennebec County,Maine,1020,,,47,,
Kenosha County,Wisconsin,2143,704,48.79,44,,
Kent County,Delaware,3468,1323,49.89,89,,
Kent County,Maryland,212,,,0,,
Kent County,Michigan,17189,7398,57.1,144,,
Kent County,Rhode Island,3794,1148,41.9,41,,
Kent County,Texas,0,,,0,,
Kenton County,Kentucky,1993,,,63,,
Keokuk County,Iowa,36,,,7,,
Kern County,California,38758,13439,46.54,1565,,
Kerr County,Texas,439,,,18,,
Kershaw County,South Carolina,258,,,0,,
Ketchikan Gateway Borough,Alaska,1060,452,58.47,5,,
Kewaunee County,Wisconsin,73,,,0,,
Keweenaw County,Michigan,2,,,0,,
Keya Paha County,Nebraska,1,,,0,,
Kidder County,North Dakota,4,,,0,,
Kimball County,Nebraska,29,,,0,,
Kimble County,Texas,0,,,2,,
King and Queen County,Virginia,0,,,0,,
King County,Texas,0,,,0,,
King County,Washington,331722,108675,43.75,15256,1871,26.22
King George County,Virginia,272,,,17,,
King William County,Virginia,180,,,0,,
Kingfisher County,Oklahoma,0,,,5,,
Kingman County,Kansas,2,,,0,,
Kings County,California,5397,1397,37.47,294,,
Kings County,New York,292092,162693,65.43,845,,
Kingsbury County,South Dakota,78,,,0,,
Kinney County,Texas,0,,,0,,
Kiowa County,Colorado,0,,,0,,
Kiowa County,Kansas,24,,,0,,
Kiowa County,Oklahoma,37,,,8,,
Kit Carson County,Colorado,29,,,40,,
Kitsap County,Washington,12036,2474,35.45,1977,,
Kittitas County,Washington,825,,,87,,
Kittson County,Minnesota,16,,,0,,
Klamath County,Oregon,637,,,77,,
Kleberg County,Texas,632,,,0,,
Klickitat County,Washington,133,,,0,,
Knott County,Kentucky,15,,,16,,
Knox County,Illinois,474,,,0,,
Knox County,Indiana,285,,,39,,
Knox County,Kentucky,122,,,0,,
Knox County,Maine,243,,,0,,
Knox County,Missouri,5,,,14,,
Knox County,Nebraska,23,,,13,,
Knox County,Ohio,224,,,12,,
Knox County,Tennessee,9188,2737,40.91,242,,
Knox County,Texas,6,,,0,,
Kodiak Island Borough,Alaska,2896,1597,69.92,143,,
Koochiching County,Minnesota,68,,,0,,
Kootenai County,Idaho,1056,,,161,,
Kosciusko County,Indiana,759,,,12,,
Kossuth County,Iowa,59,,,0,,
Kusilvak Census Area,Alaska,36,,,0,,
La Crosse County,Wisconsin,4766,,,29,,
La Paz County,Arizona,158,,,46,,
La Plata County,Colorado,322,,,27,,
La Salle County,Texas,10,,,0,,
Labette County,Kansas,57,,,0,,
Lac qui Parle County,Minnesota,30,,,0,,
Lackawanna County,Pennsylvania,5016,2618,61.89,28,,
Laclede County,Missouri,118,,,0,,
Lafayette County,Arkansas,27,,,0,,
Lafayette County,Florida,0,,,90,,
Lafayette County,Mississippi,1045,,,25,,
Lafayette County,Missouri,133,,,18,,
Lafayette County,Wisconsin,51,,,0,,
Lafayette Parish,Louisiana,3853,1561,46.58,0,,
Lafourche Parish,Louisiana,721,,,21,,
LaGrange County,Indiana,93,,,7,,
Lajas Municipio,Puerto Rico,0,,,0,,
Lake and Peninsula Borough,Alaska,28,,,3,,
Lake County,California,884,,,33,,
Lake County,Colorado,48,,,35,,
Lake County,Florida,6146,,,230,,
Lake County,Illinois,47674,10993,29.99,376,,
Lake County,Indiana,6353,2110,46.11,176,,
Lake County,Michigan,21,,,5,,
Lake County,Minnesota,4,,,4,,
Lake County,Montana,101,,,39,,
Lake County,Ohio,2637,,,31,,
Lake County,Oregon,96,,,0,,
Lake County,South Dakota,162,,,0,,
Lake County,Tennessee,14,,,4,,
Lake of the Woods County,Minnesota,29,,,0,,
Lamar County,Alabama,0,,,0,,
Lamar County,Georgia,138,,,0,,
Lamar County,Mississippi,843,,,0,,
Lamar County,Texas,437,,,179,,
Lamb County,Texas,75,,,0,,
Lamoille County,Vermont,155,,,0,,
LaMoure County,North Dakota,0,,,0,,
Lampasas County,Texas,244,,,206,,
Lancaster County,Nebraska,12140,5933,56.53,185,,
Lancaster County,Pennsylvania,10746,4518,56.83,53,,
Lancaster County,South Carolina,786,,,47,,
Lancaster County,Virginia,89,,,0,,
Lander County,Nevada,3,,,29,,
Lane County,Kansas,0,,,7,,
Lane County,Oregon,8989,2650,46.7,836,,
Langlade County,Wisconsin,55,,,0,,
Lanier County,Georgia,29,,,0,,
Lapeer County,Michigan,418,,,21,,
LaPorte County,Indiana,581,,,13,,
Laramie County,Wyoming,1093,,,178,,
Lares Municipio,Puerto Rico,0,,,0,,
Larimer County,Colorado,6485,1232,29.52,293,,
Larue County,Kentucky,48,,,0,,
Las Animas County,Colorado,116,,,20,,
Las Marías Municipio,Puerto Rico,0,,,0,,
Las Piedras Municipio,Puerto Rico,0,,,0,,
LaSalle County,Illinois,808,,,24,,
LaSalle Parish,Louisiana,0,,,14,,
Lassen County,California,455,,,194,,
Latah County,Idaho,1012,,,15,,
Latimer County,Oklahoma,50,,,0,,
Lauderdale County,Alabama,617,,,23,,
Lauderdale County,Mississippi,525,,,25,,
Lauderdale County,Tennessee,98,,,0,,
Laurel County,Kentucky,304,,,0,,
Laurens County,Georgia,446,,,7,,
Laurens County,South Carolina,232,,,42,,
Lavaca County,Texas,70,,,0,,
Lawrence County,Alabama,18,,,0,,
Lawrence County,Arkansas,14,,,2,,
Lawrence County,Illinois,62,,,0,,
Lawrence County,Indiana,177,,,21,,
Lawrence County,Kentucky,70,,,0,,
Lawrence County,Mississippi,4,,,0,,
Lawrence County,Missouri,203,,,0,,
Lawrence County,Ohio,304,,,0,,
Lawrence County,Pennsylvania,367,,,0,,
Lawrence County,South Dakota,234,,,42,,
Lawrence County,Tennessee,151,,,9,,
Le Flore County,Oklahoma,221,,,45,,
Le Sueur County,Minnesota,120,,,3,,
Lea County,New Mexico,31,,,36,,
Leake County,Mississippi,41,,,0,,
Leavenworth County,Kansas,1087,,,37,,
Lebanon County,Pennsylvania,1674,679,53.21,60,,
Lee County,Alabama,5585,2738,60.97,12,,
Lee County,Arkansas,10,,,0,,
Lee County,Florida,10359,2681,44.21,364,,
Lee County,Georgia,695,,,24,,
Lee County,Illinois,229,,,52,,
Lee County,Iowa,210,,,0,,
Lee County,Kentucky,35,,,0,,
Lee County,Mississippi,561,,,20,,
Lee County,North Carolina,613,,,23,,
Lee County,South Carolina,6,,,0,,
Lee County,Texas,161,,,0,,
Lee County,Virginia,38,,,0,,
Leelanau County,Michigan,135,,,5,,
Leflore County,Mississippi,192,,,0,,
Lehigh County,Pennsylvania,11397,3223,38.68,85,,
Lemhi County,Idaho,17,,,3,,
Lenawee County,Michigan,268,,,65,,
Lenoir County,North Carolina,299,,,38,,
Leon County,Florida,9057,1892,28.1,42,,
Leon County,Texas,120,,,31,,
Leslie County,Kentucky,42,,,0,,
Letcher County,Kentucky,57,,,0,,
Levy County,Florida,224,,,0,,
Lewis and Clark County,Montana,422,,,45,,
Lewis County,Idaho,30,,,1,,
Lewis County,Kentucky,15,,,0,,
Lewis County,Missouri,21,,,12,,
Lewis County,New York,107,,,19,,
Lewis County,Tennessee,319,,,0,,
Lewis County,Washington,948,,,106,,
Lewis County,West Virginia,68,,,0,,
Lexington city,Virginia,310,,,0,,
Lexington County,South Carolina,4354,1479,43.04,196,,
Liberty County,Florida,31,,,0,,
Liberty County,Georgia,1293,,,316,,
Liberty County,Montana,0,,,0,,
Liberty County,Texas,440,,,17,,
Licking County,Ohio,1581,,,20,,
Limestone County,Alabama,1165,,,58,,
Limestone County,Texas,120,,,0,,
Lincoln County,Arkansas,0,,,0,,
Lincoln County,Colorado,9,,,14,,
Lincoln County,Georgia,18,,,2,,
Lincoln County,Idaho,13,,,0,,
Lincoln County,Kansas,0,,,0,,
Lincoln County,Kentucky,4,,,5,,
Lincoln County,Maine,323,,,0,,
Lincoln County,Minnesota,11,,,0,,
Lincoln County,Mississippi,197,,,0,,
Lincoln County,Missouri,217,,,31,,
Lincoln County,Montana,69,,,4,,
Lincoln County,Nebraska,218,,,12,,
Lincoln County,Nevada,53,,,0,,
Lincoln County,New Mexico,103,,,0,,
Lincoln County,North Carolina,438,,,35,,
Lincoln County,Oklahoma,100,,,27,,
Lincoln County,Oregon,534,,,85,,
Lincoln County,South Dakota,540,,,15,,
Lincoln County,Tennessee,161,,,0,,
Lincoln County,Washington,65,,,36,,
Lincoln County,West Virginia,49,,,0,,
Lincoln County,Wisconsin,104,,,0,,
Lincoln County,Wyoming,49,,,6,,
Lincoln Parish,Louisiana,822,,,0,,
Linn County,Iowa,4604,,,134,,
Linn County,Kansas,30,,,0,,
Linn County,Missouri,29,,,7,,
Linn County,Oregon,1401,,,126,,
Lipscomb County,Texas,27,,,1,,
Litchfield County,Connecticut,3333,1195,47.97,6,,
Little River County,Arkansas,1,,,0,,
Live Oak County,Texas,78,,,0,,
Livingston County,Illinois,201,,,0,,
Livingston County,Kentucky,17,,,2,,
Livingston County,Michigan,1662,,,110,,
Livingston County,Missouri,72,,,25,,
Livingston County,New York,840,,,15,,
Livingston Parish,Louisiana,629,,,17,,
Llano County,Texas,77,,,0,,
Logan County,Arkansas,265,,,0,,
Logan County,Colorado,171,,,0,,
Logan County,Illinois,204,,,3,,
Logan County,Kansas,0,,,0,,
Logan County,Kentucky,38,,,1,,
Logan County,Nebraska,0,,,0,,
Logan County,North Dakota,5,,,0,,
Logan County,Ohio,336,,,2,,
Logan County,Oklahoma,225,,,23,,
Logan County,West Virginia,133,,,4,,
Loíza Municipio,Puerto Rico,73,,,0,,
Long County,Georgia,176,,,29,,
Lonoke County,Arkansas,477,,,78,,
Lorain County,Ohio,2963,1140,49.93,92,,
Los Alamos County,New Mexico,947,,,0,,
Los Angeles County,California,1391958,549799,51.1,25464,3113,26.42
Loudon County,Tennessee,292,,,0,,
Loudoun County,Virginia,59936,12843,28.03,322,,
Louisa County,Iowa,414,258,68.98,0,,
Louisa County,Virginia,188,,,0,,
Loup County,Nebraska,0,,,0,,
Love County,Oklahoma,78,,,0,,
Loving County,Texas,0,,,0,,
Lowndes County,Alabama,0,,,0,,
Lowndes County,Georgia,1974,,,55,,
Lowndes County,Mississippi,505,,,13,,
Lubbock County,Texas,6079,1464,33.28,200,,
Lucas County,Iowa,0,,,0,,
Lucas County,Ohio,7393,2593,44.26,136,,
Luce County,Michigan,14,,,3,,
Lumpkin County,Georgia,120,,,0,,
Luna County,New Mexico,130,,,0,,
Lunenburg County,Virginia,359,,,0,,
Luquillo Municipio,Puerto Rico,61,,,0,,
Luzerne County,Pennsylvania,3567,1136,41.67,75,,
Lycoming County,Pennsylvania,665,,,12,,
Lyman County,South Dakota,18,,,3,,
Lynchburg city,Virginia,2100,,,46,,
Lynn County,Texas,15,,,0,,
Lyon County,Iowa,27,,,12,,
Lyon County,Kansas,674,,,0,,
Lyon County,Kentucky,41,,,0,,
Lyon County,Minnesota,857,,,1,,
Lyon County,Nevada,550,,,109,,
Mackinac County,Michigan,61,,,3,,
Macomb County,Michigan,29760,10499,43.57,372,,
Macon County,Alabama,38,,,0,,
Macon County,Georgia,221,,,2,,
Macon County,Illinois,1168,,,5,,
Macon County,Missouri,61,,,0,,
Macon County,North Carolina,257,,,0,,
Macon County,Tennessee,62,,,37,,
Macoupin County,Illinois,200,,,2,,
Madera County,California,3079,,,224,,
Madison County,Alabama,8777,2284,39.1,341,,
Madison County,Arkansas,66,,,56,,
Madison County,Florida,180,,,2,,
Madison County,Georgia,357,,,0,,
Madison County,Idaho,417,,,42,,
Madison County,Illinois,2308,826,51.21,88,,
Madison County,Indiana,601,,,64,,
Madison County,Iowa,136,,,18,,
Madison County,Kentucky,720,,,41,,
Madison County,Mississippi,2369,,,7,,
Madison County,Missouri,44,,,0,,
Madison County,Montana,8,,,0,,
Madison County,Nebraska,362,,,0,,
Madison County,New York,572,,,47,,
Madison County,North Carolina,123,,,0,,
Madison County,Ohio,446,,,13,,
Madison County,Tennessee,986,,,0,,
Madison County,Texas,159,,,22,,
Madison County,Virginia,159,,,0,,
Madison Parish,Louisiana,0,,,0,,
Magoffin County,Kentucky,0,,,0,,
Mahaska County,Iowa,248,,,13,,
Mahnomen County,Minnesota,25,,,14,,
Mahoning County,Ohio,1901,,,53,,
Major County,Oklahoma,39,,,0,,
Malheur County,Oregon,486,,,27,,
Manassas city,Virginia,2079,,,76,,
Manassas Park city,Virginia,1626,,,5,,
Manatee County,Florida,6763,1849,38.34,402,,
Manatí Municipio,Puerto Rico,14,,,0,,
Manistee County,Michigan,109,,,11,,
Manitowoc County,Wisconsin,1893,,,28,,
Marathon County,Wisconsin,6838,2310,40.42,36,,
Marengo County,Alabama,0,,,0,,
Maricao Municipio,Puerto Rico,0,,,0,,
Maricopa County,Arizona,154253,44300,39.61,8052,,
Maries County,Missouri,17,,,0,,
Marin County,California,14565,3756,45.16,430,,
Marinette County,Wisconsin,232,,,12,,
Marion County,Alabama,96,,,0,,
Marion County,Arkansas,71,,,0,,
Marion County,Florida,5037,,,202,,
Marion County,Georgia,61,,,40,,
Marion County,Illinois,270,,,0,,
Marion County,Indiana,24708,10719,55.03,348,,
Marion County,Iowa,354,,,0,,
Marion County,Kansas,37,,,0,,
Marion County,Kentucky,54,,,0,,
Marion County,Mississippi,89,,,16,,
Marion County,Missouri,208,,,36,,
Marion County,Ohio,319,,,6,,
Marion County,Oregon,6241,2311,51.91,2525,,
Marion County,South Carolina,194,,,0,,
Marion County,Tennessee,95,,,0,,
Marion County,Texas,0,,,17,,
Marion County,West Virginia,297,,,0,,
Mariposa County,California,161,,,56,,
Marlboro County,South Carolina,92,,,0,,
Marquette County,Michigan,521,,,32,,
Marquette County,Wisconsin,59,,,7,,
Marshall County,Alabama,529,,,48,,
Marshall County,Illinois,32,,,19,,
Marshall County,Indiana,226,,,0,,
Marshall County,Iowa,1152,,,19,,
Marshall County,Kansas,30,,,21,,
Marshall County,Kentucky,118,,,0,,
Marshall County,Minnesota,25,,,3,,
Marshall County,Mississippi,43,,,0,,
Marshall County,Oklahoma,27,,,0,,
Marshall County,South Dakota,1,,,0,,
Marshall County,Tennessee,139,,,0,,
Marshall County,West Virginia,66,,,44,,
Martin County,Florida,1905,,,132,,
Martin County,Indiana,20,,,25,,
Martin County,Kentucky,0,,,8,,
Martin County,Minnesota,185,,,5,,
Martin County,North Carolina,229,,,46,,
Martin County,Texas,0,,,10,,
Martinsville city,Virginia,31,,,0,,
Mason County,Illinois,23,,,0,,
Mason County,Kentucky,116,,,0,,
Mason County,Michigan,126,,,0,,
Mason County,Texas,76,,,0,,
Mason County,Washington,933,,,169,,
Mason County,West Virginia,38,,,0,,
Massac County,Illinois,26,,,0,,
Matagorda County,Texas,708,,,42,,
Matanuska-Susitna Borough,Alaska,1271,,,186,,
Mathews County,Virginia,26,,,3,,
Maui County,Hawaii,46094,12224,58.66,16036,,
Maunabo Municipio,Puerto Rico,0,,,0,,
Maury County,Tennessee,700,,,16,,
Maverick County,Texas,253,,,32,,
Mayagüez Municipio,Puerto Rico,34,,,1,,
Mayes County,Oklahoma,132,,,108,,
McClain County,Oklahoma,136,,,20,,
McCone County,Montana,8,,,0,,
McCook County,South Dakota,0,,,0,,
McCormick County,South Carolina,35,,,0,,
McCracken County,Kentucky,487,,,0,,
McCreary County,Kentucky,43,,,0,,
McCulloch County,Texas,0,,,0,,
McCurtain County,Oklahoma,193,,,206,,
McDonald County,Missouri,259,,,296,,
McDonough County,Illinois,676,,,31,,
McDowell County,North Carolina,311,,,13,,
McDowell County,West Virginia,0,,,0,,
McDuffie County,Georgia,87,,,97,,
McHenry County,Illinois,7983,,,100,,
McHenry County,North Dakota,7,,,0,,
McIntosh County,Georgia,0,,,21,,
McIntosh County,North Dakota,27,,,0,,
McIntosh County,Oklahoma,23,,,10,,
McKean County,Pennsylvania,183,,,17,,
McKenzie County,North Dakota,68,,,0,,
McKinley County,New Mexico,677,,,32,,
McLean County,Illinois,7954,2118,34.27,39,,
McLean County,Kentucky,53,,,0,,
McLean County,North Dakota,0,,,0,,
McLennan County,Texas,3618,,,64,,
McLeod County,Minnesota,210,,,0,,
McMinn County,Tennessee,302,,,28,,
McMullen County,Texas,0,,,0,,
McNairy County,Tennessee,35,,,0,,
McPherson County,Kansas,140,,,10,,
McPherson County,Nebraska,0,,,0,,
McPherson County,South Dakota,14,,,0,,
Meade County,Kansas,41,,,4,,
Meade County,Kentucky,140,,,0,,
Meade County,South Dakota,313,,,10,,
Meagher County,Montana,0,,,0,,
Mecklenburg County,North Carolina,52400,19807,46.61,435,,
Mecklenburg County,Virginia,21,,,10,,
Mecosta County,Michigan,309,,,21,,
Medina County,Ohio,2029,,,13,,
Medina County,Texas,314,,,8,,
Meeker County,Minnesota,75,,,12,,
Meigs County,Ohio,8,,,0,,
Meigs County,Tennessee,26,,,0,,
Mellette County,South Dakota,0,,,0,,
Menard County,Illinois,43,,,47,,
Menard County,Texas,0,,,0,,
Mendocino County,California,1471,,,186,,
Menifee County,Kentucky,21,,,0,,
Menominee County,Michigan,88,,,2,,
Menominee County,Wisconsin,20,,,0,,
Merced County,California,18804,6161,40.99,456,,
Mercer County,Illinois,39,,,0,,
Mercer County,Kentucky,114,,,0,,
Mercer County,Missouri,17,,,4,,
Mercer County,New Jersey,37971,9512,31.53,130,,
Mercer County,North Dakota,33,,,0,,
Mercer County,Ohio,168,,,118,,
Mercer County,Pennsylvania,716,,,4,,
Mercer County,West Virginia,402,,,20,,
Meriwether County,Georgia,133,,,0,,
Merrick County,Nebraska,8,,,0,,
Merrimack County,New Hampshire,2428,1147,58.73,0,,
Mesa County,Colorado,1052,,,152,,
Metcalfe County,Kentucky,49,,,0,,
Miami County,Indiana,176,,,28,,
Miami County,Kansas,132,,,0,,
Miami County,Ohio,1242,,,21,,
Miami-Dade County,Florida,40999,11769,39.95,724,,
Middlesex County,Connecticut,4545,,,0,,
Middlesex County,Massachusetts,166447,49514,38.59,467,,
Middlesex County,New Jersey,187690,47254,31.32,251,,
Middlesex County,Virginia,0,,,14,,
Midland County,Michigan,1776,,,77,,
Midland County,Texas,2751,,,74,,
Mifflin County,Pennsylvania,250,,,43,,
Milam County,Texas,126,,,0,,
Millard County,Utah,100,,,9,,
Mille Lacs County,Minnesota,163,,,20,,
Miller County,Arkansas,172,,,21,,
Miller County,Georgia,0,,,0,,
Miller County,Missouri,119,,,0,,
Mills County,Iowa,32,,,0,,
Mills County,Texas,3,,,0,,
Milwaukee County,Wisconsin,35758,12366,44.71,206,,
Miner County,South Dakota,7,,,0,,
Mineral County,Colorado,3,,,0,,
Mineral County,Montana,30,,,0,,
Mineral County,Nevada,206,,,0,,
Mineral County,West Virginia,101,,,0,,
Mingo County,West Virginia,19,,,0,,
Minidoka County,Idaho,85,,,30,,
Minnehaha County,South Dakota,3298,1382,56.36,75,,
Missaukee County,Michigan,37,,,0,,
Mississippi County,Arkansas,238,,,18,,
Mississippi County,Missouri,9,,,6,,
Missoula County,Montana,1611,,,39,,
Mitchell County,Georgia,66,,,13,,
Mitchell County,Iowa,67,,,0,,
Mitchell County,Kansas,19,,,0,,
Mitchell County,North Carolina,32,,,0,,
Mitchell County,Texas,33,,,0,,
Mobile County,Alabama,7630,2651,41.95,54,,
Moca Municipio,Puerto Rico,60,,,0,,
Modoc County,California,98,,,8,,
Moffat County,Colorado,23,,,54,,
Mohave County,Arizona,2379,,,272,,
Moniteau County,Missouri,5,,,0,,
Monmouth County,New Jersey,32785,8362,35.86,249,,
Mono County,California,264,,,0,,
Monona County,Iowa,15,,,0,,
Monongalia County,West Virginia,3256,,,0,,
Monroe County,Alabama,116,,,0,,
Monroe County,Arkansas,37,,,0,,
Monroe County,Florida,880,,,0,,
Monroe County,Georgia,208,,,0,,
Monroe County,Illinois,202,,,0,,
Monroe County,Indiana,8956,4151,54.14,44,,
Monroe County,Iowa,70,,,0,,
Monroe County,Kentucky,20,,,8,,
Monroe County,Michigan,915,,,10,,
Monroe County,Mississippi,87,,,0,,
Monroe County,Missouri,18,,,21,,
Monroe County,New York,25883,9494,48.1,176,,
Monroe County,Ohio,20,,,0,,
Monroe County,Pennsylvania,3595,,,31,,
Monroe County,Tennessee,151,,,51,,
Monroe County,West Virginia,0,,,0,,
Monroe County,Wisconsin,361,,,8,,
Montague County,Texas,19,,,0,,
Montcalm County,Michigan,288,,,41,,
Monterey County,California,23932,6739,45.67,1920,,
Montezuma County,Colorado,27,,,31,,
Montgomery County,Alabama,5128,2376,55.77,51,,
Montgomery County,Arkansas,99,,,0,,
Montgomery County,Georgia,26,,,0,,
Montgomery County,Illinois,41,,,11,,
Montgomery County,Indiana,275,,,7,,
Montgomery County,Iowa,0,,,0,,
Montgomery County,Kansas,318,,,54,,
Montgomery County,Kentucky,3,,,28,,
Montgomery County,Maryland,146064,43262,37.26,477,,
Montgomery County,Mississippi,30,,,0,,
Montgomery County,Missouri,16,,,26,,
Montgomery County,New York,370,,,0,,
Montgomery County,North Carolina,416,,,6,,
Montgomery County,Ohio,10231,4061,50.04,182,,
Montgomery County,Pennsylvania,56366,16686,37,197,,
Montgomery County,Tennessee,4025,,,575,,
Montgomery County,Texas,13940,3014,32.93,462,,
Montgomery County,Virginia,6006,,,34,,
Montmorency County,Michigan,2,,,1,,
Montour County,Pennsylvania,512,,,0,,
Montrose County,Colorado,303,,,152,,
