District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
District 4,Arkansas,2857,,,,
District 4,California,25601,212e3,343400,618400,1386300
District 4,Colorado,9936,,115700,174400,604800
District 4,Connecticut,27262,215500,287100,267100,1956500
District 4,Florida,25173,282300,358900,433100,1443e3
District 4,Georgia,25351,783e3,458400,344700,949e3
District 4,Illinois,19414,226400,343700,421800,949500
District 4,Indiana,10325,,,,678100
District 4,Iowa,8708,165300,161300,155300,388900
District 4,Kansas,15519,311400,384700,327100,528700
District 4,Kentucky,5800,,,,331200
District 4,Louisiana,4926,,,,214300
District 4,Maryland,17117,175100,256500,365500,914600
District 4,Massachusetts,28594,155600,212600,235300,2255900
District 4,Michigan,4263,,,,274400
District 4,Minnesota,45791,1312500,797800,909800,1559e3
District 4,Mississippi,8113,183500,,,
District 4,Missouri,7315,,,,410400
District 4,Nevada,31857,292900,677300,1054700,1160800
District 4,New Jersey,21719,,213600,340500,1450100
District 4,New York,32802,317300,482800,524700,1955400
District 4,North Carolina,45809,376e3,375900,473300,3355700
District 4,Ohio,3983,,,,243200
District 4,Oklahoma,11297,159900,204200,265700,499900
District 4,Oregon,10051,,121400,228e3,557700
District 4,Pennsylvania,11750,220800,182500,208100,563600
District 4,South Carolina,11313,,230200,209400,528800
District 4,Tennessee,8142,129700,229500,155600,299400
District 4,Texas,5141,,,,255100
District 4,Utah,16636,253400,342e3,301200,767e3
District 4,Virginia,9720,,,198200,554200
District 4,Washington,7919,141e3,143400,169800,337700
District 4,Wisconsin,15761,398300,312500,309e3,556300
District 40,California,14187,233200,167900,386300,631300
District 41,California,27130,368600,445500,738800,1160100
District 42,California,51111,428400,82e4,1411800,2450900
District 43,California,71940,596800,1173200,1722400,3701600
District 44,California,31489,375700,555800,967500,1249900
District 45,California,125485,578600,841500,2091e3,9037400
District 46,California,70530,1290200,1195e3,1904300,2663500
District 47,California,114969,2176e3,2055100,3036800,4229e3
District 48,California,99274,1648200,1472700,2360200,4446300
District 49,California,36783,227400,391500,762500,2296900
District 5,Alabama,8441,,,,470800
District 5,Arizona,24539,237700,259200,454100,1502900
District 5,California,59961,628400,898100,1961700,2507900
District 5,Colorado,13273,197400,256200,329600,544100
District 5,Connecticut,18582,223400,235200,303e3,1096600
District 5,Florida,12960,196600,300900,307600,490900
District 5,Georgia,19135,252300,354900,,1145900
District 5,Illinois,39329,332300,427e3,672100,2501500
District 5,Indiana,17252,,,,1219200
District 5,Kentucky,1539,,,,
District 5,Louisiana,3460,,,,152800
District 5,Maryland,21867,232200,306900,431900,1215700
District 5,Massachusetts,58646,530300,632400,544200,4157700
District 5,Michigan,4563,,,,270700
District 5,Minnesota,26402,506100,405100,486400,1242600
District 5,Missouri,9314,205400,183300,161700,381e3
District 5,New Jersey,54613,344800,605e3,761400,3750100
District 5,New York,74460,1842e3,1735100,1351500,2517400
District 5,North Carolina,6702,,,,333400
District 5,Ohio,6306,,,110700,357600
District 5,Oklahoma,17195,326300,296600,332400,764200
District 5,Oregon,15644,159100,244e3,416400,744900
District 5,Pennsylvania,6376,,,,432200
District 5,South Carolina,5378,94100,124200,,224100
District 5,Tennessee,16155,351500,274700,226700,762600
District 5,Texas,9945,295300,167800,,349800
District 5,Virginia,7579,,,121300,452600
District 5,Washington,10649,181600,178400,248800,456100
District 5,Wisconsin,12939,,146e3,145200,892200
District 50,California,31095,302700,506300,919300,1381200
District 51,California,43936,908300,1005700,1386900,1092700
District 52,California,106010,733800,1034500,2036500,6796200
District 53,California,74202,984200,1103600,2196e3,3136400
District 6,Alabama,8139,,,,463400
District 6,Arizona,25502,227600,186600,332400,1803600
District 6,California,79090,1751e3,1607900,1942600,2607500
District 6,Colorado,31949,479400,513900,569400,1632200
District 6,Florida,9551,,,220700,422800
District 6,Georgia,57534,343100,562500,558100,4289700
District 6,Illinois,45907,349300,313700,664700,3263e3
District 6,Indiana,6414,,,,461e3
District 6,Kentucky,9532,,121900,121700,600700
District 6,Louisiana,11317,160600,195800,,611500
District 6,Maryland,60027,418200,595700,804600,4184200
District 6,Massachusetts,22316,255900,313800,309e3,1352900
District 6,Michigan,6928,,,,450100
District 6,Minnesota,9176,,151700,271100,369e3
District 6,Missouri,6140,,,,287200
District 6,New Jersey,94281,760900,941700,1088900,6636600
District 6,New York,221948,4811700,5086900,4130300,8165900
District 6,North Carolina,7834,,,,331e3
District 6,Ohio,2095,,,,113300
District 6,Pennsylvania,22768,,203200,202700,1743200
District 6,South Carolina,4276,,,,224600
District 6,Tennessee,4932,,,,213100
District 6,Texas,24010,366600,485700,572200,976500
District 6,Virginia,8099,,,,373700
District 6,Washington,20595,363300,431400,601700,663100
District 6,Wisconsin,9145,146900,255500,192800,319300
District 7,Alabama,3006,,,,190200
District 7,Arizona,13670,390300,259700,282400,434600
District 7,California,78574,1247700,1169300,1986700,3453700
District 7,Colorado,17332,302600,357700,386300,686600
District 7,Florida,22461,,330100,415600,1261100
District 7,Georgia,69150,884300,1342500,1240600,3447600
District 7,Illinois,38066,375e3,367500,,2723900
District 7,Indiana,13091,366600,269500,,529200
District 7,Maryland,34612,343200,345100,444300,2328600
District 7,Massachusetts,52805,1165700,787400,505800,2821600
District 7,Michigan,4554,,,,262200
District 7,Minnesota,3020,57400,81600,79900,
District 7,Missouri,5395,,,,218800
District 7,New Jersey,50388,247200,391700,488400,3911500
District 7,New York,105823,4816e3,1923600,1016900,2825800
District 7,North Carolina,4359,,,,177800
District 7,Ohio,3341,,,,164100
District 7,Pennsylvania,23983,190800,316400,282500,1608600
District 7,South Carolina,4942,,,,214e3
District 7,Tennessee,9854,,,,593800
District 7,Texas,59008,429600,563200,844600,4063400
District 7,Virginia,26759,342200,393900,344600,1595200
District 7,Washington,61393,530900,559300,1148700,3900400
District 7,Wisconsin,5904,116100,150600,143900,179800
District 8,Arizona,19577,277600,291700,443900,944500
District 8,California,16892,225700,343200,486700,633600
District 8,Florida,11637,155600,248600,243e3,516500
