District,State,Group Population,Less than HS,HS or GED,Some College or AA,BA or higher
District 7,Massachusetts,,,,,
District 7,Michigan,,,,,
District 7,Minnesota,,,,,
District 7,Missouri,,,,,
District 7,New Jersey,,,,,
District 7,New York,,,,,
District 7,North Carolina,,,,,
District 7,Ohio,,,,,
District 7,Pennsylvania,,,,,
District 7,South Carolina,,,,,
District 7,Tennessee,,,,,
District 7,Texas,,,,,
District 7,Virginia,,,,,
District 7,Washington,2291,,,,
District 7,Wisconsin,,,,,
District 8,Arizona,961,,,,
District 8,California,1448,,,,
District 8,Florida,353,,,,
District 8,Georgia,,,,,
District 8,Illinois,,,,,
District 8,Indiana,,,,,
District 8,Maryland,,,,,
District 8,Massachusetts,,,,,
District 8,Michigan,,,,,
District 8,Minnesota,,,,,
District 8,Missouri,,,,,
District 8,New Jersey,,,,,
District 8,New York,,,,,
District 8,North Carolina,669,,,,
District 8,Ohio,202,,,,
District 8,Pennsylvania,,,,,
District 8,Tennessee,,,,,
District 8,Texas,499,,,,
District 8,Virginia,,,,,
District 8,Washington,2677,,,,
District 8,Wisconsin,,,,,
District 9,Arizona,1321,,,,
District 9,California,2600,,,,
District 9,Florida,348,,,,
District 9,Georgia,,,,,
District 9,Illinois,,,,,
District 9,Indiana,,,,,
District 9,Massachusetts,,,,,
District 9,Michigan,,,,,
District 9,New Jersey,,,,,
District 9,New York,,,,,
District 9,North Carolina,,,,,
District 9,Ohio,,,,,
District 9,Pennsylvania,,,,,
District 9,Tennessee,,,,,
District 9,Texas,,,,,
District 9,Virginia,,,,,
District 9,Washington,5146,,221800,177500,
Resident Commissioner District (at Large),Puerto Rico,,,,,
